# Target Sample Rate: 100 Hz,,,,
# Max Device Sample Rate: 100 Hz,,,,
# Recording started at: 2026-06-05 11:09:23.837,,,,
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
493.880678,-0.0213,-0.0242,-0.059,0.07
493.880882,-0.0364,-0.0238,-0.1079,0.12
493.897152,-0.0396,-0.0228,-0.0602,0.08
493.9028,-0.0424,-0.046,0.0265,0.07
493.912804,-0.024,-0.0717,0.0511,0.09
493.919758,-0.0056,-0.0759,-0.0223,0.08
493.935862,0.04,-0.0365,-0.133,0.14
493.945751,0.0484,-0.0264,-0.1131,0.13
493.961897,0.0545,-0.0329,-0.0909,0.11
493.962008,0.0464,-0.0682,-0.0615,0.1
493.978211,0.0384,-0.1059,-0.032,0.12
493.994225,-0.0158,-0.0785,-0.0326,0.09
493.994345,-0.0284,-0.0659,-0.0341,0.08
494.010135,-0.0432,-0.0366,-0.0284,0.06
494.010233,-0.051,0.0094,-0.0227,0.06
494.026183,-0.0516,0.0579,-0.0194,0.08
494.042281,-0.0524,0.0901,-0.0414,0.11
494.042977,-0.0383,0.0618,-0.0784,0.11
494.058698,-0.0458,0.0047,-0.096,0.11
494.074722,-0.0173,-0.0523,-0.1378,0.15
494.075911,-0.0342,-0.0497,-0.1264,0.14
494.090646,-0.039,-0.0421,-0.1057,0.12
494.091682,-0.0652,-0.037,-0.08,0.11
494.106945,-0.0771,-0.0463,-0.0809,0.12
494.126055,-0.0696,-0.0477,-0.0208,0.09
494.126338,-0.0437,-0.0088,0.0543,0.07
494.141333,-0.0681,0.0326,0.0598,0.1
494.141943,-0.1068,0.1001,-0.0133,0.15
494.157575,-0.1115,0.1413,-0.1148,0.21
494.173401,-0.0063,0.0679,-0.0379,0.08
494.174191,0.029,0.0253,0.0254,0.05
494.189656,0.0497,-0.0125,0.0146,0.05
494.190679,0.0299,-0.0531,-0.0625,0.09
494.205872,-0.0042,-0.0795,-0.1366,0.16
494.222001,-0.036,-0.0654,-0.2463,0.26
494.224284,-0.086,-0.0128,-0.215,0.23
494.238431,-0.1187,0.0518,-0.1693,0.21
494.240807,-0.1186,0.0956,-0.0991,0.18
494.255012,-0.1185,0.0821,0.0282,0.15
494.271337,-0.1164,0.0503,0.1584,0.2
494.273304,-0.1243,0.0243,0.0854,0.15
494.287467,-0.0916,0.0222,-0.0065,0.09
494.303375,-0.0496,0.0417,-0.0913,0.11
494.303494,-0.0315,0.0493,-0.1212,0.13
494.319396,-0.0324,0.069,-0.1345,0.15
494.335308,-0.0411,-0.0239,-0.184,0.19
494.335419,-0.049,-0.0958,-0.2007,0.23
494.351441,-0.0557,-0.1396,-0.1726,0.23
494.351561,-0.0673,-0.1258,-0.1113,0.18
494.367551,-0.0671,-0.0591,-0.0699,0.11
494.383907,-0.0882,0.0509,-0.0526,0.11
494.384065,-0.1097,0.0652,-0.0382,0.13
494.400209,-0.0928,0.0605,-0.0718,0.13
494.400322,-0.0879,0.0367,-0.0792,0.12
