# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-06-05 13:02:05.337
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003865,1.3882,0.3891,-0.4162,1.50
0.011246,1.0329,0.1609,-0.6026,1.21
0.015704,0.5064,0.0869,-0.9594,1.09
0.031003,0.1711,0.5052,-0.7432,0.91
0.039482,0.3360,0.6567,-0.0899,0.74
0.047820,0.6339,0.6783,0.5095,1.06
0.056603,0.8253,0.4953,0.9137,1.33
0.065138,1.1316,0.3710,1.0670,1.60
0.073993,1.1400,0.3854,0.8895,1.50
0.088745,0.9978,0.2561,0.6630,1.23
0.097060,1.0446,0.1581,0.5462,1.19
0.106840,1.1825,-0.2191,0.2705,1.23
0.116153,1.5900,-0.4439,0.2556,1.67
0.124482,1.3664,-0.4981,0.0403,1.45
0.138355,1.0328,-2.1273,-0.8545,2.51
0.147345,0.3400,-1.5487,-0.3853,1.63
0.156579,-0.1637,-0.7260,0.3684,0.83
0.165170,-0.4579,-0.4509,1.2280,1.39
0.173715,-0.4555,-0.4229,2.3913,2.47
0.187720,-0.9393,-0.3562,4.1493,4.27
0.198679,-1.6466,-0.5285,4.5007,4.82
0.207714,-2.2271,-1.9210,2.2875,3.73
0.215928,-2.0245,-0.7535,2.6084,3.39
0.224190,-2.4245,-0.2285,-0.2220,2.45
0.237452,-4.0290,-3.0206,-5.1413,7.20
0.246248,-3.4730,-3.0707,-6.6187,8.08
0.257018,-2.9682,-2.2235,-6.5581,7.53
0.265474,-2.8815,-1.8777,-6.3680,7.24
0.273767,-2.6138,-1.8479,-6.4931,7.24
0.286774,-1.7357,-0.1819,-3.0552,3.52
0.297969,-1.0958,0.1920,-3.6452,3.81
0.306760,-1.0740,0.0297,-2.9558,3.14
0.315323,-0.6885,-0.0228,-2.0354,2.15
0.323768,-0.3724,-0.0381,-1.0809,1.14
0.336333,0.6925,-1.1838,-0.6900,1.54
0.346774,0.5214,-1.6377,-0.9645,1.97
0.357711,0.1092,-1.8246,-0.6428,1.94
0.366109,-0.8598,-2.0250,-0.0773,2.20
0.374044,-1.6695,-2.6809,0.3364,3.18
0.385459,-1.3831,-4.1799,-2.0185,4.84
0.397855,-2.2654,-3.9836,-2.4988,5.22
0.407113,-2.8875,-3.4393,-2.3702,5.08
0.416010,-3.8664,-2.2424,-2.1419,4.96
0.424389,-11.0832,2.7009,-0.8771,11.44
0.433557,-7.4345,2.6757,-0.0251,7.90
0.443494,1.0405,-3.2435,-2.0976,4.00
0.460329,0.9072,-2.5755,-2.8358,3.94
0.467800,1.1710,-2.0568,-1.3666,2.73
0.482410,1.8579,-2.4646,0.3324,3.10
0.484719,1.7631,-2.7231,2.9083,4.36
0.499255,2.6134,-3.1948,4.7409,6.29
0.507663,2.9771,-3.1519,6.7236,8.00
0.517245,3.6116,-2.2930,7.5622,8.69
0.526178,3.6540,-1.8457,6.1220,7.36
0.536772,3.7916,-1.4388,4.0946,5.76
0.550238,3.3286,-0.4243,1.6995,3.76
0.558306,3.6501,0.1531,0.6402,3.71
0.566431,4.2955,1.1936,-0.2931,4.47
0.574873,6.0358,1.1843,0.0294,6.15
0.583087,6.5016,1.7619,0.1696,6.74
0.599636,4.1239,4.0064,-0.8819,5.82
0.607707,3.7095,4.1683,-1.9097,5.90
0.615958,3.4131,3.9198,-2.4897,5.76
0.624255,3.3068,4.3432,-2.2202,5.89
0.641446,3.6987,5.4267,-1.3603,6.71
0.649062,4.0239,6.3671,-0.8832,7.58
0.657763,5.0547,7.9177,-0.3599,9.40
0.665678,4.2498,7.9355,-0.0303,9.00
0.674228,4.6844,6.4634,-0.1522,7.98
0.690379,2.4983,1.5798,0.7295,3.04
0.698850,1.4867,-0.4077,1.7648,2.34
0.707475,0.3293,-1.8020,2.8284,3.37
0.715365,-1.2264,-2.5296,3.8312,4.75
0.724338,-2.3134,-2.9494,4.0245,5.50
0.739960,-2.7830,-4.1094,2.9629,5.78
0.749101,-2.7953,-4.4463,2.1509,5.68
0.757301,-2.5664,-4.6087,1.6405,5.52
0.764556,-2.0944,-4.6110,1.3030,5.23
0.774021,-1.5426,-4.4640,1.0791,4.84
0.789444,-0.9547,-4.2008,1.1518,4.46
0.798635,-0.6008,-4.0926,1.2471,4.32
0.807547,-0.9291,-3.9925,2.1176,4.61
0.816095,-0.7457,-3.8167,2.6299,4.69
0.824601,-0.1957,-3.4162,2.7908,4.42
0.838751,-0.1968,-2.6329,2.9082,3.93
0.848821,-0.5823,-2.0146,2.4906,3.26
0.857611,-0.9099,-1.6224,2.1546,2.85
0.863281,-1.1555,-1.4948,1.9200,2.69
0.874270,-1.2174,-1.3725,1.6938,2.50
0.889125,-0.8964,-1.1708,1.2234,1.92
0.897261,-1.3801,-0.8126,0.7840,1.78
0.908624,-2.0068,-0.4790,0.4533,2.11
0.913479,-1.9902,-0.5603,0.2335,2.08
0.929448,-0.9947,-0.6696,0.6283,1.35
0.938833,-0.3618,-0.6987,0.8561,1.16
0.947850,-0.0424,-0.7398,1.7161,1.87
0.956237,-0.0282,-0.4025,3.4345,3.46
0.965040,-0.0168,0.0275,3.1406,3.14
0.973194,-0.5363,0.1295,3.0006,3.05
0.988056,-0.3255,0.5364,1.7066,1.82
0.998404,0.6684,0.3274,0.8395,1.12
1.006342,1.2177,0.2250,0.4801,1.33
1.015006,0.8702,0.2484,1.2935,1.58
1.024740,0.7336,0.0920,1.5871,1.75
1.036722,-3.3048,7.9000,-2.6564,8.97
1.048969,-0.4818,5.2080,-4.1021,6.65
1.057720,0.0379,3.4000,-2.3383,4.13
1.066492,-0.5134,4.0138,-1.6056,4.35
1.076656,0.0828,1.7646,-0.9338,2.00
1.090452,1.9129,-1.1389,0.8951,2.40
1.099814,2.4332,-2.6537,2.0150,4.13
1.107574,2.8101,-2.6901,2.2151,4.48
1.113659,3.7656,-3.5563,2.3120,5.67
1.124466,3.5413,-3.2530,2.0348,5.22
1.136287,1.9887,-0.6355,-0.2597,2.10
1.148556,1.0683,0.1687,-1.1678,1.59
1.157636,-0.3852,0.7806,-1.3582,1.61
1.165160,-0.5097,-0.3452,-0.9275,1.11
1.176830,0.1758,-3.9103,2.8044,4.82
1.190547,0.8159,-5.5779,3.5675,6.67
1.199801,1.4026,-7.2823,3.7054,8.29
1.209940,0.5203,-4.6752,-0.3491,4.72
1.224165,0.3221,-2.4152,-2.1147,3.23
1.232908,-0.4829,1.0904,-3.1905,3.41
1.241535,-0.9714,3.0287,-3.3019,4.58
1.247278,-1.3863,3.9259,-0.4024,4.18
1.257976,-1.3638,3.9636,1.8041,4.56
1.274675,0.3253,1.9070,2.3662,3.06
1.276027,2.3622,0.1686,2.9546,3.79
1.283397,2.6025,-0.8155,1.8520,3.30
1.300059,2.9109,-1.1916,1.2685,3.39
1.308314,4.2904,-2.7737,0.7953,5.17
1.316949,4.6775,-4.9166,1.4074,6.93
1.324872,3.4215,-3.8477,1.9650,5.51
1.333134,0.2810,-0.8282,-3.1302,3.25
1.349716,-2.8137,2.5027,-1.1638,3.94
1.358104,-4.9561,2.3457,-1.6948,5.74
1.366149,-5.5602,2.9687,-2.0121,6.62
1.374339,-4.6818,4.4230,-1.5002,6.61
1.383173,-2.2664,3.9920,-1.3595,4.79
1.399081,1.8919,1.8146,-1.6474,3.10
1.407514,3.7908,2.6718,-2.1690,5.12
1.415781,4.3002,3.3731,-1.7309,5.73
1.423932,4.5107,3.7526,-1.5980,6.08
1.440344,5.5334,3.4419,-2.1323,6.86
1.450775,5.7358,3.1852,-2.9210,7.18
1.457798,5.6576,3.0354,-3.4640,7.30
1.466021,5.3435,3.1208,-3.5761,7.15
1.473622,5.0414,3.2472,-3.1651,6.78
1.489821,3.3114,3.0515,-2.0382,4.94
1.498771,2.8040,1.5841,-1.8920,3.74
1.507765,3.5225,0.7676,-1.5571,3.93
1.516350,2.9252,-0.0798,-0.1838,2.93
1.523152,2.3706,-1.4401,0.4943,2.82
1.540547,1.7979,-4.2249,0.8030,4.66
1.549689,1.6975,-5.2482,0.9295,5.59
1.555933,0.8417,-5.8748,1.2743,6.07
1.564271,-0.3124,-6.0596,1.3793,6.22
1.580395,-2.5989,-6.0634,1.9965,6.89
1.591189,-4.7445,-5.8993,4.1655,8.64
1.597841,-4.8822,-5.6714,2.3076,7.83
1.610305,-4.9924,-4.9287,1.9332,7.28
1.613429,-5.1594,-4.0544,-0.9608,6.63
1.630194,-9.5603,3.4826,-2.0895,10.39
1.639119,-10.1770,2.7302,0.2601,10.54
1.647549,-10.0946,2.8670,1.0522,10.55
1.655789,-8.2667,2.6919,2.2253,8.97
1.665565,-5.1267,1.2595,3.3377,6.25
1.674116,-2.7467,-0.1468,3.5029,4.45
1.687858,2.9635,-1.8586,4.6129,5.79
1.698362,4.6741,-1.4828,4.8261,6.88
1.707341,4.6394,-0.6364,2.6368,5.37
1.713458,2.4650,-0.3588,-2.2130,3.33
1.729057,1.4178,-3.5842,-4.3340,5.80
1.740164,1.6534,-5.5909,-3.8827,7.00
1.748639,1.9153,-6.4872,-5.1026,8.47
1.757126,1.8798,-7.4706,-4.2747,8.81
1.764246,-0.9190,-6.1757,-0.4076,6.26
1.773487,-8.6064,-4.3175,9.1699,13.30
1.786176,-4.1677,-2.3806,-2.7514,5.53
1.797917,-4.0718,2.8558,-4.4308,6.66
1.806742,-0.8122,5.7976,-4.1185,7.16
1.814547,2.1975,8.0848,-4.5396,9.53
1.823168,-0.7327,5.8159,-1.0861,5.96
1.838330,-6.0077,2.1609,2.5266,6.87
1.846738,-3.7367,-0.8690,12.5331,13.11
1.856960,-3.6406,-2.0825,13.5606,14.19
1.865678,-2.3697,-1.3540,7.3700,7.86
1.874049,-1.2314,0.4435,1.7329,2.17
1.890115,-1.0237,1.0545,-0.9901,1.77
