# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-06-05 11:09:23.837
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004285,-0.5412,0.6400,-0.4740,0.96
0.014516,-1.0663,0.6367,-0.5834,1.37
0.027725,-1.5948,0.7562,0.1991,1.78
0.040996,-0.9811,0.9097,1.8143,2.25
0.053907,0.4733,0.4461,2.8630,2.94
0.054017,1.3817,0.9691,4.0105,4.35
0.066566,1.8894,1.5349,4.3761,5.01
0.081174,2.2204,1.5467,2.2635,3.53
0.094527,2.6948,0.4127,0.3390,2.75
0.094720,1.6063,0.7120,0.0388,1.76
0.109034,-0.1316,0.3284,-4.1754,4.19
0.111071,-1.2372,-0.7431,-3.6502,3.93
0.127676,-1.0744,-1.1265,-4.3178,4.59
0.141045,-0.7616,-0.7371,-2.7805,2.98
0.144047,-1.5127,0.5711,-1.1563,1.99
0.155627,-2.0964,1.6469,0.2966,2.68
0.168920,-2.4477,2.1031,1.6232,3.61
0.181665,-3.0156,1.0971,2.0642,3.82
0.195022,-3.4450,0.1394,1.9502,3.96
0.195128,-3.9992,-0.6460,2.0882,4.56
0.207808,-4.6164,-1.4008,2.1948,5.30
0.221433,-4.7422,-1.8014,2.2170,5.54
0.221547,-4.5881,-1.9728,2.1105,5.42
0.234443,-4.3955,-1.9156,1.5761,5.05
0.247439,-4.0970,-0.8227,0.6155,4.22
0.260615,-3.3713,-0.7847,-1.4772,3.76
0.260714,-2.8302,-0.8801,-2.1548,3.66
0.273435,-2.6202,-0.7615,-2.2693,3.55
0.286554,-2.2688,-0.8022,-2.0080,3.13
0.299551,-1.6500,-2.1464,-0.5669,2.77
0.300606,-0.7955,-2.9832,0.2659,3.10
0.314247,-0.0466,-3.6123,1.1570,3.79
0.327481,0.2259,-3.7779,2.6380,4.61
0.340191,-2.9009,-2.8141,5.3653,6.72
0.353323,-1.9471,-2.3286,5.0157,5.86
0.353422,-0.1805,-2.4155,4.5492,5.15
0.369758,2.3903,-4.0353,2.8562,5.49
0.382610,2.3824,-3.4364,2.1313,4.69
0.382988,2.0708,-2.5245,1.3255,3.52
0.391731,2.1262,-1.9702,0.4479,2.93
0.402213,2.6368,-2.0017,-0.0391,3.31
0.417904,3.7233,-2.0802,0.1298,4.27
0.424138,4.0137,-1.9353,0.7829,4.52
0.432668,4.0540,-1.9216,1.2087,4.65
0.445397,3.8388,-2.0541,1.2243,4.52
0.458196,4.0547,-2.6156,-0.3085,4.83
0.465490,4.9640,-2.7253,-0.7446,5.71
0.473564,5.7346,-2.6749,-1.2250,6.45
0.485473,5.9302,-2.7133,-0.9307,6.59
0.490640,5.4739,-2.7085,-0.4648,6.12
0.506818,3.2668,-2.5365,0.0017,4.14
0.515526,2.5365,-2.8246,-0.0966,3.80
0.526591,1.9618,-2.9178,-0.2486,3.52
0.531281,1.3729,-2.6535,-0.2314,3.00
0.547508,0.6480,-2.2732,-0.4665,2.41
0.556041,-0.0904,-1.9790,-0.2106,1.99
0.569426,-0.2388,-1.5122,-0.4201,1.59
0.572400,-0.2188,-1.1104,-1.0180,1.52
0.589372,-0.9981,-0.6875,-1.3131,1.79
0.605660,-1.2653,-1.2556,-2.7302,3.26
0.605888,-1.7239,-1.5090,-2.1234,3.12
0.621821,-2.3749,-1.0407,-1.3998,2.95
0.621938,-2.5273,-0.6947,-1.4063,2.97
0.637877,-1.8521,-0.9068,-0.9763,2.28
0.653553,-0.2073,-0.7899,0.5189,0.97
0.655182,0.5886,-0.7995,0.7598,1.25
0.669462,0.8631,-0.7593,1.3355,1.76
0.671516,0.8598,-0.5284,1.9111,2.16
0.685219,0.8844,-0.2544,1.9725,2.18
0.700974,0.9452,0.0795,0.3488,1.01
0.704334,1.1063,0.1723,-0.1459,1.13
0.716870,1.3934,0.1928,-0.4038,1.46
0.721032,1.7015,0.3387,-0.2968,1.76
0.733199,1.9464,0.5564,-0.1970,2.03
0.749178,1.9399,0.4673,0.2710,2.01
0.753811,1.8636,0.4029,0.9941,2.15
0.765118,1.6888,0.5690,1.9372,2.63
0.781104,1.5090,0.8629,2.4058,2.97
0.781199,1.7131,1.0311,2.2301,3.00
0.797699,1.9050,0.9874,2.0616,2.98
0.814234,0.9388,0.5053,1.6689,1.98
0.814352,0.4847,0.1720,1.6231,1.70
0.830617,0.0129,0.0824,1.5526,1.55
0.830734,-0.2091,-0.0402,1.4382,1.45
0.847520,-0.1853,-0.0545,1.2948,1.31
0.867259,0.3867,-0.1094,0.6274,0.75
0.867490,0.6024,-0.3298,0.6815,0.97
0.883892,0.7465,-0.5961,1.2557,1.58
0.884071,1.1626,-0.9034,1.3205,1.98
0.900701,1.6418,-1.7456,1.3769,2.76
0.906406,1.1418,-1.8969,1.3730,2.61
0.918657,1.3907,-2.3646,0.8643,2.88
0.935074,2.4769,-3.5117,-1.0523,4.42
0.935205,2.3220,-3.6457,-1.1852,4.48
0.951605,1.7095,-3.6937,-0.3756,4.09
0.951748,1.0529,-3.7812,1.0777,4.07
0.968195,0.5409,-3.6388,1.7254,4.06
0.984582,-0.1552,-3.3712,2.5746,4.24
0.984708,-0.9793,-3.3316,1.6131,3.83
1.001248,-1.6883,-3.4214,0.5083,3.85
1.001464,-2.3570,-3.1191,-0.0015,3.91
1.017909,-2.9324,-2.6928,0.1460,3.98
1.034239,-3.8204,-2.5797,0.9032,4.70
1.034477,-3.7299,-3.0239,1.3073,4.98
1.050672,-3.2803,-3.2765,1.9618,5.03
1.051121,-2.9806,-3.2645,2.2015,4.94
1.066892,-2.5389,-2.9690,2.3829,4.58
