# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-06-05 13:40:13.955
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006653,0.1634,-0.5983,-1.9513,2.05
0.015579,0.1430,-0.8501,-2.0388,2.21
0.029750,-0.6300,-0.3586,-1.5802,1.74
0.036405,-0.3758,-0.6570,-1.2819,1.49
0.045282,-0.7428,-0.1289,-1.0484,1.29
0.053604,-1.1790,0.7987,-1.0723,1.78
0.064927,-1.4989,1.3453,-1.0291,2.26
0.070897,-1.7819,0.6327,-0.6074,1.99
0.083617,0.0416,0.7068,0.6906,0.99
0.094260,0.5805,-0.2277,0.4265,0.76
0.104338,1.2080,-0.2032,0.3761,1.28
0.112631,1.3231,-0.3648,0.6355,1.51
0.121246,1.3555,-0.9253,0.1805,1.65
0.132684,0.0385,-0.8690,-0.1796,0.89
0.146591,-0.7465,-0.6883,-0.2845,1.05
0.154792,-1.5008,-0.3727,-0.5316,1.64
0.163767,-1.8350,0.0231,-0.5118,1.91
0.171742,-1.8761,0.2749,-0.7054,2.02
0.180029,-1.3240,0.2408,-0.7668,1.55
0.190790,-0.5764,0.5150,0.5265,0.94
0.201859,-1.4764,-0.0596,2.5168,2.92
0.214954,-1.4556,0.5709,4.9687,5.21
0.223272,-0.6132,-0.4441,5.6047,5.66
0.231648,0.1717,-1.3485,5.5141,5.68
0.248405,-0.3640,-0.1395,4.5121,4.53
0.255999,0.6765,-0.1337,4.2297,4.29
0.264354,0.3218,0.0674,4.3429,4.36
0.272789,0.1930,0.0537,4.1440,4.15
0.280725,0.3257,-0.2564,3.7273,3.75
0.297387,0.6044,-1.3643,2.5486,2.95
0.305531,1.2642,-2.0506,1.7506,2.98
0.313713,1.1266,-2.2225,1.0269,2.70
0.322349,0.9622,-1.8100,0.3437,2.08
0.330369,0.6104,-1.1967,-0.5013,1.43
0.347380,-0.8938,0.1082,-1.6825,1.91
0.355002,-1.3307,0.2147,-1.5203,2.03
0.363778,-1.8515,-0.3128,-1.4100,2.35
0.371724,-2.2978,-1.1937,-0.9881,2.77
0.380562,-2.4819,-1.9652,-0.0932,3.17
0.396215,-1.4555,-2.8591,1.7434,3.65
0.405037,-1.1329,-2.7621,2.3492,3.80
0.413315,-1.5364,-2.3573,2.9129,4.05
0.422053,-1.9408,-2.0156,3.4858,4.47
0.430692,-1.8226,-1.9503,3.3956,4.32
0.446923,-1.8584,-1.6270,0.8735,2.62
0.455194,-1.7760,-1.3548,-2.0075,3.00
0.463661,-1.5545,-2.0726,-2.3622,3.51
0.472257,-0.7291,-1.8925,-3.5396,4.08
0.480405,-0.7025,-0.9369,-3.9524,4.12
0.494883,-0.0923,-0.9536,-4.2046,4.31
0.505276,1.3330,-1.4405,-5.0630,5.43
0.513359,1.9895,-1.9723,-5.2777,5.98
0.520210,2.0480,-2.3183,-5.1548,6.01
0.530712,1.9989,-3.1230,-5.6209,6.73
0.546538,0.7302,-3.3977,-4.8074,5.93
0.555152,0.0567,-2.9854,-5.3092,6.09
0.561304,-0.3172,-3.0525,-4.5265,5.47
0.571689,-0.7030,-2.8279,-4.0695,5.01
0.585863,-0.1086,-2.7108,-2.9495,4.01
0.596160,0.6748,-2.8401,-2.6375,3.93
0.605381,1.3468,-2.9856,-2.7496,4.28
0.610324,1.5761,-3.1682,-3.0677,4.68
0.622823,0.1424,-3.1332,-2.9794,4.33
0.636597,-0.5864,-1.2154,-3.5979,3.84
0.650584,-0.6767,-1.4495,-4.5606,4.83
0.651546,-0.2389,-2.2380,-4.7495,5.26
0.660345,-0.2541,-2.2931,-4.9685,5.48
0.675866,0.1749,-2.1680,-3.4498,4.08
0.685392,1.5449,-1.9000,-1.8898,3.09
0.693359,2.6451,-1.5171,-0.4047,3.08
0.702434,3.2982,-1.0846,0.7355,3.55
0.710752,3.6340,-0.9318,1.6537,4.10
0.725756,2.8595,-0.2190,2.6611,3.91
0.736843,2.4995,0.4769,2.2196,3.38
0.745844,2.3918,0.7484,1.4930,2.92
0.754277,2.4777,0.5961,0.5979,2.62
0.762651,2.8404,0.5294,0.0583,2.89
0.770914,3.1809,0.4338,-0.2275,3.22
0.783734,2.6586,0.4089,0.2214,2.70
0.795800,3.1480,0.3889,0.7091,3.25
0.804930,3.6821,0.5015,1.6094,4.05
0.813243,4.1551,0.5754,2.5119,4.89
0.821334,4.8216,0.4751,3.0541,5.73
0.833142,5.3161,1.0567,3.6518,6.54
0.844969,5.2395,1.4723,3.5740,6.51
0.854693,5.3753,1.4833,2.7844,6.23
0.863229,5.4973,1.3808,1.9381,5.99
0.871443,5.7354,1.3669,1.4696,6.08
0.882505,7.6974,2.2031,0.2987,8.01
0.896339,9.5440,2.2064,0.3797,9.80
0.904812,10.6706,1.5941,1.1784,10.85
0.914805,9.6270,-0.2597,2.6125,9.98
0.922960,8.2356,-1.0227,2.2830,8.61
0.931569,6.7642,-1.4567,1.5160,7.08
0.947988,3.8060,-1.9537,-0.9663,4.39
0.956764,2.9446,-1.7045,-1.7199,3.81
0.965166,2.5642,-1.8328,-2.2141,3.85
0.972736,2.2787,-2.5410,-2.7012,4.35
0.981190,1.8488,-3.2795,-3.2221,4.96
0.997885,0.6164,-4.6047,-4.3770,6.38
1.005908,0.3705,-5.2888,-4.8157,7.16
1.014180,0.2944,-5.7040,-5.3271,7.81
1.022393,0.1857,-5.9904,-5.5227,8.15
1.030755,-0.3302,-6.1881,-5.1918,8.08
1.046563,-1.5922,-4.9383,-4.2050,6.68
1.055408,-2.3273,-4.2014,-2.9209,5.62
1.063912,-2.6443,-3.4655,-0.2862,4.37
1.071547,-3.6521,-2.9718,1.2179,4.86
1.080258,-5.1597,-2.6308,2.8171,6.44
1.095955,-5.4903,-2.1485,4.0295,7.14
1.104714,-3.6873,-1.9206,3.5789,5.49
1.112856,-2.0223,-2.0297,2.9410,4.11
1.121494,-1.0725,-1.8859,2.0391,2.98
1.130117,-0.1052,-1.4327,0.8108,1.65
1.145836,0.8557,-0.1601,-0.1216,0.88
1.155074,0.5097,0.2828,-0.0993,0.59
1.163049,0.1180,0.6121,0.1951,0.65
1.172094,-0.3945,0.9982,0.5828,1.22
1.181141,-0.8097,1.3562,0.5008,1.66
1.194613,-1.7667,1.9996,0.5198,2.72
1.204266,-2.7764,2.3189,0.3622,3.64
1.213207,-3.5206,2.6556,0.2379,4.42
1.221977,-3.9518,3.0619,0.1844,5.00
1.238262,0.8902,-0.7807,-1.2320,1.71
1.245455,-0.4668,-0.3187,-3.4848,3.53
1.254874,-3.2933,2.5417,-0.0064,4.16
1.263305,-2.7347,3.3923,3.6485,5.68
1.272162,-1.8843,3.6265,1.2890,4.29
1.280310,-1.8136,2.5675,-1.0529,3.32
1.294518,-0.1122,0.1263,-1.4251,1.44
1.302116,0.2856,-0.6406,-1.4156,1.58
1.314244,0.6565,-1.1731,-1.3628,1.91
1.321757,0.7469,-1.4944,-1.5168,2.26
1.335296,1.6973,-1.3349,-0.6706,2.26
1.344616,2.1320,-1.3428,0.9851,2.71
1.353814,2.0886,-1.7773,1.9598,3.37
1.361895,1.5495,-2.4173,2.7630,3.98
1.370575,1.0416,-2.8241,3.1165,4.33
1.385942,0.0955,-2.6747,1.6940,3.17
1.395350,-0.3969,-2.1694,1.2619,2.54
1.403720,-1.0371,-1.6363,1.0386,2.20
1.411880,-1.4911,-1.2926,0.5889,2.06
1.420739,-1.9563,-0.9439,0.2215,2.18
1.433941,-2.1073,-0.3948,-0.2633,2.16
1.445394,-2.0698,-0.2576,-0.5346,2.15
1.454538,-1.8815,-0.2697,-0.8003,2.06
1.462753,-1.5755,-0.2863,-0.7612,1.77
1.475062,-0.8797,-0.1196,-0.5218,1.03
1.487132,-0.5516,0.1302,-0.2057,0.60
1.495790,-0.2802,0.3017,0.1569,0.44
1.504460,-0.2154,0.3779,0.4485,0.62
1.512683,-0.0745,0.2773,0.1708,0.33
1.520696,0.1466,0.1926,-0.2056,0.32
1.529944,0.2547,0.2202,-0.2856,0.44
1.541044,-0.0707,0.4064,-0.9795,1.06
1.554111,-0.1287,0.5980,-1.2251,1.37
1.562824,-0.3508,0.7645,-1.0385,1.34
1.571187,-0.5896,0.9103,-1.0578,1.51
1.580019,-0.7718,0.9924,-1.0271,1.62
1.590265,-0.8251,0.9180,-0.4773,1.32
1.603681,-0.6928,0.7644,-0.1062,1.04
1.612451,-0.3434,0.5024,0.1807,0.63
1.623582,0.2032,0.0331,0.5504,0.59
1.631415,0.6619,-0.0577,0.5263,0.85
1.647951,1.5065,-0.1616,0.4759,1.59
1.656136,1.9035,-0.2029,0.3871,1.95
1.664216,2.2589,-0.2391,0.1637,2.28
1.672809,2.6389,-0.4354,0.1243,2.68
1.681336,2.9299,-0.4161,0.1315,2.96
1.690479,2.8849,-0.1482,0.2769,2.90
1.705502,2.9172,0.3720,0.9173,3.08
1.713805,2.5904,0.4073,0.6361,2.70
1.721974,2.6499,0.5715,0.2061,2.72
1.730236,2.6880,0.8004,0.0796,2.81
1.747026,3.3377,0.7384,-0.1366,3.42
