# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-06-05 13:24:31.610
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007029,1.5904,-0.0279,0.6542,1.72
0.017465,1.3594,-0.0680,0.8705,1.62
0.030445,0.5289,-0.4424,0.6844,0.97
0.043456,0.4472,-0.5543,0.3966,0.82
0.044063,0.4000,-0.3596,0.2747,0.60
0.056106,0.2146,-0.1595,0.2250,0.35
0.068746,0.0010,0.1221,0.2738,0.30
0.080755,0.4496,0.4869,-1.6252,1.76
0.093150,1.2228,0.7205,-1.4854,2.05
0.093754,1.3378,0.0659,-1.6636,2.14
0.105341,1.7469,-0.4905,-1.3388,2.25
0.110112,2.2025,-0.3605,0.3837,2.26
0.119794,2.0494,-0.2598,1.4696,2.54
0.132076,1.6672,-0.2556,1.6911,2.39
0.144968,0.9481,-0.4218,1.2956,1.66
0.157265,0.5009,-0.6504,0.9133,1.23
0.169978,-0.4645,-0.5964,0.5290,0.92
0.182423,-0.9025,-0.7100,0.1868,1.16
0.183945,-1.2832,-0.9255,0.0697,1.58
0.195195,-1.4259,-1.1774,-0.0923,1.85
0.207564,-1.6125,-1.4091,-0.2679,2.16
0.220180,-2.0540,-1.2635,-0.0063,2.41
0.233121,-1.9544,-1.1135,-0.1100,2.25
0.233555,-1.9774,-1.1530,-0.4575,2.33
0.263209,-1.9133,-1.2069,-0.6517,2.35
0.287355,-0.9881,-0.8703,0.2375,1.34
0.287466,-0.3319,-0.8316,0.8650,1.24
0.300105,0.3601,-0.7096,0.8653,1.18
0.312547,1.1994,-1.0057,-0.8892,1.80
0.325198,1.4650,-1.0446,-1.5071,2.35
0.325299,1.6311,-1.0090,-1.5705,2.48
0.337767,1.4694,-0.9699,-0.6928,1.89
0.350367,1.0331,-0.8326,0.6919,1.50
0.362797,-0.0221,-0.9703,3.3800,3.52
0.375440,-0.5022,-1.3289,4.1198,4.36
0.375539,-0.9902,-1.6172,4.1679,4.58
0.387882,-1.4002,-1.6751,3.5968,4.21
0.400394,-1.6447,-1.6002,2.6683,3.52
0.412925,-1.6719,-1.0170,-0.1680,1.96
0.425515,-1.7128,-0.8215,-1.2725,2.29
0.425603,-1.9304,-0.6974,-1.9791,2.85
0.439379,-2.7345,-0.4685,-2.2762,3.59
0.447877,-3.0984,-0.5477,-1.9318,3.69
0.456331,-3.5230,-0.4697,-1.4458,3.84
0.468089,-3.7827,-0.4035,-1.0625,3.95
0.480716,-3.8566,-0.7366,-0.7857,4.00
0.497671,-2.5341,-0.9781,-0.0817,2.72
0.497746,-1.8596,-0.8646,0.0597,2.05
0.510296,-1.2276,-0.7996,-0.1024,1.47
0.513396,-0.4816,-0.7279,-0.1590,0.89
0.534802,0.6805,-1.0773,-1.1823,1.74
0.538471,0.9253,-1.4120,-1.3379,2.15
0.546926,0.6773,-1.7178,-1.5106,2.39
0.559716,0.1768,-1.9041,-1.7441,2.59
0.572178,-0.1511,-2.0088,-1.8527,2.74
0.585031,-4.7906,-0.3081,0.2455,4.81
0.587620,-4.7871,0.0836,0.6658,4.83
0.597629,-4.4618,-0.2513,0.3519,4.48
0.603992,-0.8689,-2.6315,-0.7280,2.87
0.623829,-0.3272,-2.3581,-0.4765,2.43
0.629062,-0.0585,-1.9727,-0.7785,2.12
