# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-06-04 10:22:43.221
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001726,0.0827,-0.1503,0.0667,0.18
0.026919,0.1732,-0.0541,-0.1649,0.25
0.035387,0.2143,-0.0794,-0.1048,0.25
0.044573,0.2502,-0.1074,-0.2905,0.40
0.053811,0.1636,-0.1034,-0.4668,0.51
0.058908,0.0332,-0.0721,-0.4259,0.43
0.069685,-0.0602,-0.0450,-0.3357,0.34
0.079264,-0.1007,-0.0292,-0.2394,0.26
0.088693,-0.0797,-0.0801,-0.1369,0.18
0.097764,0.0102,-0.1134,-0.0494,0.12
0.112263,0.0543,-0.1479,0.0043,0.16
0.115661,0.0525,-0.1349,0.0486,0.15
0.122991,0.0476,-0.1354,0.0907,0.17
0.133381,0.0829,-0.1621,0.0304,0.18
0.164260,0.0758,-0.1267,0.1119,0.19
0.176115,0.1069,-0.0541,0.0680,0.14
0.194041,0.0942,-0.1310,0.0023,0.16
0.197801,0.0853,-0.1502,-0.0331,0.18
0.208052,0.0589,-0.1285,-0.0782,0.16
0.216821,0.0686,-0.1040,-0.0635,0.14
0.228546,0.0627,-0.0942,-0.0583,0.13
0.237570,0.0864,-0.1400,-0.0793,0.18
0.247275,0.0994,-0.1366,-0.0522,0.18
0.256509,0.1307,-0.0905,-0.0610,0.17
0.264422,0.1379,-0.0755,-0.0698,0.17
0.274571,0.1274,-0.0919,0.0006,0.16
0.292623,0.0679,-0.0784,-0.0505,0.12
0.309545,0.0399,-0.0934,-0.0643,0.12
0.311331,0.0638,-0.0955,-0.0806,0.14
0.327322,0.1007,-0.1561,-0.1020,0.21
0.331044,0.1041,-0.1586,-0.1451,0.24
0.339890,0.1025,-0.0837,-0.0973,0.16
0.349895,0.0983,-0.0583,-0.0952,0.15
0.358635,0.1052,-0.0490,-0.0094,0.12
0.368122,0.1103,-0.0773,0.0786,0.16
0.385250,0.1126,-0.1293,0.0923,0.19
0.387099,0.1024,-0.1574,0.0870,0.21
0.402590,0.1368,-0.1358,0.0458,0.20
0.406502,0.1469,-0.1029,0.0167,0.18
0.416192,0.1840,-0.0589,0.0189,0.19
0.425259,0.2192,-0.0393,0.0548,0.23
0.434679,0.2071,-0.0796,0.0571,0.23
0.450583,0.1847,-0.1156,0.0715,0.23
0.468400,0.3744,-0.0408,0.5921,0.70
0.472188,0.5413,0.0098,0.9318,1.08
0.485892,0.8299,-0.1078,1.2948,1.54
0.491547,0.9823,-0.2553,1.4227,1.75
0.500650,0.9469,-0.2045,1.3685,1.68
0.510262,0.7984,-0.1651,1.1922,1.44
0.526066,0.5945,-0.1835,0.8957,1.09
0.529159,0.4205,-0.2364,0.5244,0.71
0.543669,0.2791,-0.2803,0.1735,0.43
0.547875,0.1965,-0.3361,-0.1385,0.41
0.561252,0.1722,-0.3632,-0.4312,0.59
0.567331,0.1411,-0.2953,-0.6142,0.70
0.577040,0.0466,-0.1705,-0.8528,0.87
0.592096,0.0572,-0.1166,-1.0228,1.03
0.595523,0.0661,-0.1107,-1.1342,1.14
0.609479,0.0530,-0.1702,-1.0272,1.04
0.616700,0.0118,-0.2399,-0.8767,0.91
0.627247,-0.0859,-0.2737,-0.5673,0.64
0.636536,-0.3930,-0.2513,-0.4043,0.62
0.645979,-0.9431,-0.0488,-0.3076,0.99
0.655101,-1.8774,0.3193,-0.1877,1.91
0.664307,-2.0285,0.4795,0.4673,2.14
0.680266,-0.1692,-0.0726,1.4057,1.42
0.690076,0.3144,-0.1406,1.4229,1.46
0.699993,0.4775,-0.1073,1.0631,1.17
0.708843,0.4288,-0.1427,0.5580,0.72
0.718214,1.3185,-0.3596,0.1448,1.37
0.736313,1.8773,-0.3182,-0.2677,1.92
0.737030,1.4832,-0.2199,-0.5840,1.61
