time,ax,ay,az,atotal
0.000,0.21,0.50,0.50,0.74
0.010,0.76,0.13,0.23,0.81
0.020,0.99,0.13,-0.34,1.05
0.030,0.86,0.57,-0.71,1.25
0.040,0.82,0.82,-1.02,1.54
0.050,0.78,0.94,-1.24,1.74
0.060,0.65,1.07,-1.04,1.63
0.070,0.56,0.99,-0.49,1.24
0.080,0.63,0.66,0.34,0.97
0.090,0.56,0.36,1.04,1.24
0.100,0.26,0.08,1.18,1.21
0.110,0.01,-0.19,0.90,0.92
0.120,-0.25,-0.43,0.48,0.69
0.130,-0.37,-0.60,0.02,0.71
0.140,-0.28,-0.69,-0.60,0.95
0.150,0.32,-0.55,-1.06,1.24
0.160,1.13,-0.19,-1.40,1.81
0.170,1.60,0.14,-1.20,2.01
0.180,1.96,-0.42,-0.88,2.19
0.190,2.01,-1.18,-0.92,2.51
0.200,1.87,-1.65,-0.79,2.61
0.209,1.66,-1.59,-0.49,2.35
0.220,1.11,-1.27,-0.53,1.76
0.230,0.12,-0.58,-0.67,0.89
0.240,-1.11,0.45,-0.92,1.51
0.249,-2.05,1.38,-1.31,2.80
0.259,-1.97,0.94,-1.95,2.93
0.269,-2.52,1.27,-0.89,2.96
0.279,-2.42,1.15,0.01,2.68
0.289,-1.79,0.52,0.33,1.89
0.299,-1.16,0.27,0.26,1.22
0.309,-0.64,0.31,0.19,0.74
0.320,-0.17,0.15,0.07,0.24
0.329,-0.07,0.03,0.06,0.09
0.339,-0.65,-0.31,0.26,0.76
0.349,-1.61,-0.46,0.24,1.69
0.359,-1.84,-0.48,-0.05,1.90
0.369,-1.13,-0.65,0.07,1.30
0.379,-0.23,-0.56,0.30,0.68
0.389,0.16,-0.54,0.61,0.83
0.399,0.17,-0.41,0.94,1.04
0.409,0.30,-0.04,1.46,1.49
0.419,0.27,0.01,1.15,1.18
0.429,0.30,0.03,0.67,0.74
0.439,0.27,0.05,0.20,0.35
0.449,0.24,-0.02,0.19,0.31
0.459,0.16,-0.09,0.41,0.45
0.469,-0.05,-0.05,0.27,0.28
0.479,-0.41,-0.26,0.10,0.50
0.489,-1.11,0.08,-0.06,1.12
0.499,-0.85,0.30,-0.17,0.92
0.509,-0.55,0.65,-0.16,0.87
0.519,-0.74,0.67,-0.29,1.04
0.529,-0.51,0.43,-0.81,1.05
0.539,0.03,0.17,-0.59,0.62
0.549,-0.16,0.00,-0.16,0.22
0.559,-0.44,-0.15,-0.25,0.53
0.569,-0.70,-0.07,-0.26,0.75
