time,ax (m/s^2),EMA ax (m/s^2),ay (m/s^2),EMA ay (m/s^2),az (m/s^2),EMA az (m/s^2),aT (m/s^2),EMA aT (m/s^2)
493.880678,-0.0213,-0.0213,-0.0242,-0.0242,-0.059,-0.059,0.07,0.07
493.880882,-0.0364,-0.022036585365853657,-0.0238,-0.024180487804878047,-0.1079,-0.06138536585365853,0.12,0.07243902439024391
493.897152,-0.0396,-0.02289333729922665,-0.0228,-0.024113146936347408,-0.0602,-0.06132754312908982,0.08,0.0728078524687686
493.9028,-0.0424,-0.023844881821215594,-0.046,-0.02518079830530607,0.0265,-0.05704327273254885,0.07,0.07267088405565794
493.912804,-0.024,-0.0238524485616441,-0.0717,-0.027450027656266748,0.0511,-0.051767991135839145,0.09,0.07351620678465023
493.919758,-0.0056,-0.022962085217173654,-0.0759,-0.029813440941326905,-0.0223,-0.05033052815360308,0.08,0.07383248938052095
493.935862,0.04,-0.01989076398706762,-0.0365,-0.030139614553945107,-0.133,-0.05436318531684195,0.14,0.07706017282537359
493.945751,0.0484,-0.016559507207210663,-0.0264,-0.02995719433180144,-0.1131,-0.057228395789191124,0.13,0.0796426034192578
493.961897,0.0545,-0.013093189782468677,-0.0329,-0.030100745827811123,-0.0909,-0.058870913067767164,0.11,0.08112345203295254
493.962008,0.0464,-0.010191082963811668,-0.0682,-0.03195924603133253,-0.0615,-0.05899916121080291,0.1,0.0820442592508573
493.978211,0.0384,-0.007820786233869635,-0.1059,-0.0355661120785846,-0.032,-0.0576821289566174,0.12,0.08389575879959597
493.994225,-0.0158,-0.008210016173680872,-0.0785,-0.037660448074751204,-0.0326,-0.05645861047092875,0.09,0.08419352666303032
493.994345,-0.0284,-0.009194893433501317,-0.0659,-0.03903798719305602,-0.0341,-0.055367946545517584,0.08,0.08398896438678494
494.010135,-0.0432,-0.010853679119671986,-0.0366,-0.0389190609885167,-0.0284,-0.05405243695793136,0.06,0.08281877100206372
494.010233,-0.051,-0.012812036235785548,0.0094,-0.036562033623223196,-0.0227,-0.05252304978925178,0.06,0.08170566022147525
494.026183,-0.0516,-0.014704132029161862,0.0579,-0.03195412954404158,-0.0194,-0.05090729126294681,0.08,0.08162245728384232
494.042281,-0.0524,-0.016542954857007623,0.0901,-0.026000269566283454,-0.0414,-0.05044352095743721,0.11,0.08300672766024025
494.042977,-0.0383,-0.017604274132275544,0.0618,-0.021717329587440354,-0.0784,-0.05180725164244027,0.11,0.08432347265242365
