time,theta_apparent,lo,hi,n,sides,rest,theta,theta_ema
1.5,0.0,0.0,0.0,0,0,1,0.0,2.7904934304170965e-05
4.5,0.0,0.0,0.0,0,0,1,0.0,4.1857401456256445e-05
7.5,0.0,0.0,0.0,0,0,1,0.0,6.278610218438466e-05
10.5,0.0,0.0,0.0,0,0,1,0.0,9.417915327657697e-05
13.5,0.0,0.0,0.0,0,0,1,0.0,0.00014126872991486545
16.5,0.0,0.0,0.0,0,0,1,0.0,0.00021190309487229816
19.5,0.0,0.0,0.0,0,0,1,0.0,0.0003178546423084472
22.5,0.0,0.0,0.0,0,0,1,0.0,0.00047678196346267077
25.5,0.0,0.0,0.0,0,0,1,0.0,0.0007151729451940061
28.5,0.0,0.0,0.0,0,0,1,0.0,0.001072759417791009
31.5,0.0,0.0,0.0,0,0,1,0.0,0.0016091391266865132
34.5,0.0,0.0,0.0,0,0,1,0.0,0.0024137086900297695
37.5,0.0,0.0,0.0,0,0,1,0.0,0.0036205630350446536
40.5,0.0,0.0,0.0,0,0,1,0.0,0.00543084455256698
43.5,0.0,0.0,0.0,0,0,1,0.0,0.008146266828850468
46.5,0.0,0.0,0.0,0,0,1,0.0,0.012219400243275702
49.5,0.0,0.0,0.0,0,0,1,0.0,0.01832910036491355
52.5,0.0,0.0,0.0,0,0,1,0.0,0.027493650547370324
55.5,0.0,0.0,0.0,0,0,1,0.0,0.04124047582105548
58.5,0.0,0.0,0.0,0,0,1,0.0,0.06186071373158321
61.5,0.0,0.0,0.0,0,0,1,0.0,0.0927910705973748
64.5,0.0,0.0,0.0,0,0,1,0.0,0.1391866058960622
67.5,0.0,0.0,0.0,0,0,1,0.0,0.20877990884409325
70.5,0.0,0.0,0.0,0,0,1,0.0,0.3131698632661398
73.5,0.0,0.0,0.0,0,0,1,0.0,0.4697547948992097
76.5,0.0,0.0,0.0,0,0,1,0.0,0.7046321923488145
79.5,0.0,0.0,0.0,0,0,1,0.0,1.0569482885232215
82.5,0.0,0.0,0.0,0,0,1,0.0,1.585422432784832
85.5,0.0,0.0,0.0,0,0,1,0.0,2.378133649177248
88.5,0.0,0.0,0.0,0,0,1,0.0,3.5672004737658716
91.5,0.0,0.0,0.0,0,0,1,0.0,5.350800710648807
94.5,0.0,0.0,0.0,0,0,1,0.0,8.02620106597321
97.5,59.45955143230629,8.098465718919364,48.46450187836725,12,2,0,48.45039680451745,12.039301598959813
100.5,0.0,0.0,0.0,0,0,1,0.0,9.983886264353476
103.5,8.136372732421055,3.558654661508595,7.077001717326787,36,1,0,7.064063369121846,9.59245197380605
106.5,10.383378810608308,5.073617440394322,10.096980214729104,12,1,0,9.01018993042541,9.622415784039326
109.5,9.63248633338828,3.947779913929695,9.58515488168173,13,1,0,8.360194591950647,9.754417236541588
112.5,10.72187014857101,4.420595548108951,9.905343429067914,9,1,0,9.303071973773552,10.118789129809004
115.5,9.365087188810582,4.159369370016776,14.527360376690902,9,1,0,8.128636833067768,10.619113882415663
118.5,9.819319916507206,3.4449575487596853,10.855558261985164,22,1,0,8.521958400620708,11.53451814324697
121.5,10.650832198064274,3.709024720694367,9.587054728564828,18,2,0,9.241612619699197,12.952015694515985
124.5,31.14946416997006,4.707954979779931,35.313040601999745,10,1,0,26.70982607979822,14.987913758254464
127.5,16.691185633353566,4.024042988419518,14.727935480933034,11,2,0,14.451916407036157,15.070159768402316
130.5,11.710583218690648,4.796099376805318,10.870362738144404,27,2,0,10.158080916066032,15.25544633877786
133.5,12.142627818899127,5.953995342294749,10.679500018226468,20,2,0,10.53146139521152,16.29029381293871
136.5,18.766843375144703,7.134267393241824,16.862161811634692,20,2,0,16.23331794629469,18.284946690054092
