time,theta_apparent,lo,hi,n,sides,rest,theta,theta_ema
4.5,0.0,0.0,0.0,0,0,1,0.0,3.862897574449111
7.5,0.0,0.0,0.0,0,0,1,0.0,5.794346361673666
10.5,0.0,0.0,0.0,0,0,1,0.0,8.691519542510498
13.5,0.0,0.0,0.0,0,0,1,0.0,13.037279313765746
16.5,15.825637267701223,9.87962673718745,16.137171373319248,8,2,0,15.825626133451074,19.555918970648616
19.5,27.34997834545345,26.21410499802995,27.483698339698584,3,1,0,27.34995802786014,26.69627410039774
22.5,34.497229189128355,12.547571000052988,35.96051065458884,2,1,0,34.49720219518177,33.72768190890313
25.5,64.48946084418688,10.824097529905243,64.44423356883516,11,2,0,64.48937852997484,40.63083633636208
28.5,59.99036899339974,6.653465681253456,59.50258128448685,17,2,0,59.990300984031,43.55756706488557
31.5,62.23723392652453,4.74558804782802,61.88100550481178,34,2,0,62.23715930699731,43.745508806884814
34.5,43.16889672706035,5.639705890091,44.48966386269732,28,2,0,43.16885988032285,40.85150879886531
37.5,30.199962616234792,6.957427310548515,31.32033074325997,14,2,0,30.199939754468005,37.571283610602876
40.5,25.115066945921093,7.034701598934911,27.01034614700726,19,2,0,25.115048532988563,35.51961573169625
43.5,24.477112173827656,14.013799291725984,23.428580713437142,16,2,0,24.47709429161514,35.202042385907575
46.5,34.607129589139674,8.359253006665693,24.37807228453591,42,2,0,34.60710248411955,36.67196038916763
49.5,30.238529204196304,12.978542516175226,33.834092836724,58,2,0,30.23850630701905,38.486021376602366
52.5,38.88516126154734,22.837132309284623,38.63763946703522,104,2,0,38.88512958297016,41.67466820896765
55.5,43.75676635538287,26.89886198010757,43.746699330816654,131,2,0,43.75672874359429,45.32823814566585
58.5,50.91193910132046,32.39332929132183,51.91808772970478,130,2,0,50.91189074610299,49.24372631604263
61.5,54.92115149348507,39.66796055966188,54.51754309630153,116,2,0,54.921095559127785,52.881187081409365
64.5,60.392307710992256,42.061598911801084,59.61169948210003,125,2,0,60.39223858647031,56.178663100489686
67.5,64.03022787173884,52.00285167459939,63.596353989681134,137,2,0,64.03014722691496,58.773876538573234
70.5,63.97038634493334,54.36491476501435,63.84316229072544,100,2,0,63.97030591360137,60.493044861933164
73.5,64.33310309407258,55.12730079699246,63.898504266737405,118,2,0,64.3330213544967,61.63266967668172
76.5,64.0382721014129,52.28791731450399,63.72016292443098,124,2,0,64.03819142782042,62.32223587846111
79.5,64.16064289907926,49.77876817023111,63.90056579834031,90,2,0,64.16056178579645,62.72580948868061
82.5,63.72547406313609,53.640227843213445,63.85609789736908,70,2,0,63.72539449612979,62.890257716047465
85.5,63.47326583033038,44.281526638232215,63.43454663602231,49,2,0,63.473187137893525,62.91551648006727
88.5,63.47005047746841,43.70222993531193,63.44816292860852,67,2,0,63.46997179608164,62.84783013444935
91.5,61.39925923738431,49.95410525112395,62.33088470875827,68,2,0,61.399187194128665,62.676453511892724
94.5,63.306557369502265,43.45407062176239,63.12722298128908,58,2,0,63.30647924673125,62.71795460896344
97.5,63.32059597992178,40.95368802138552,63.03475572064155,71,2,0,63.32051780943338,62.661368266406186
100.5,60.616276085809744,47.44590461785216,62.04693489449316,74,2,0,60.61620632788072,62.49492366667773
103.5,63.006652910971226,48.85183271133962,62.49073993972807,68,2,0,63.00657579659357,62.64159862341543
106.5,63.72397439815817,48.5670571497944,63.61099215546146,67,2,0,63.72389483639822,62.72744405129012
109.5,63.6061525652226,45.93587607395984,63.673957912631344,79,2,0,63.60607341391493,62.647214348313454
112.5,60.47214474092386,49.57562364486897,62.01813964252764,68,2,0,60.47207539161702,62.40717480106988
115.5,62.77780482389318,45.44682369624797,62.1463165425207,59,2,0,62.77772846515512,62.48965182206843
118.5,64.29831314142949,45.60761852653743,64.20939504886105,65,2,0,64.29823152882463,62.524116069219204
121.5,60.9324294690243,49.99878701070913,61.7075908336343,68,2,0,60.93235880185757,62.262894406435734
124.5,62.0452122695926,45.4185912676268,62.49001714657114,51,2,0,62.04513825294107,62.22342867774863
127.5,63.638449405528746,45.09979022773911,61.44260040046842,59,2,0,63.63837014204851,62.21367801986278
130.5,62.95375218241725,47.58828166809213,63.23806628749299,67,2,0,62.95367524376418,61.966478674945975
133.5,62.852889271091705,51.31362152623817,63.49933947960215,56,2,0,62.852812665728166,61.55474656855946
136.5,63.64082227788957,49.21573750996244,63.64674399457568,62,2,0,63.64074300615787,60.92667011264483
139.5,62.09234623480456,43.69784693697117,62.09152723260957,66,2,0,62.09227207087689,59.84624817447802
142.5,57.16681919658945,47.41832060145789,58.09593542508794,74,2,0,57.16675832266634,58.391488920244726
145.5,55.55216860013729,43.31950506783269,56.523581013002,79,2,0,55.55211133504917,57.140851432274495
148.5,55.99309229125468,36.63957073156508,55.55317260018578,129,2,0,55.99303407068721,56.15500396050848
151.5,49.32034824861309,33.20162787563368,48.86444201304949,73,2,0,49.32030254800665,55.196151470379334
154.5,52.5825159416115,30.173117526578118,52.58246459734445,79,2,0,52.58246459734445,55.21660713397897
157.5,43.4272654752946,19.64021599488841,42.86958099327147,87,2,0,43.42722829414824,55.67608655368436
160.5,63.85972768201126,22.313918819455704,63.859647643071824,46,2,0,63.859647643071824,58.17704234997909
163.5,64.82021016722548,17.06362823454258,64.82338997545342,20,2,0,64.82012661553276,59.730897264091695
166.5,63.4047024249512,15.382106979964911,63.41152075301713,12,2,0,63.4046239676065,60.436547286297454
169.5,63.48633677150664,11.231094285775685,63.84673000266414,23,2,0,63.48625803412381,60.64751786161837
172.5,64.04633001854279,9.817969839595596,62.42155601839792,10,2,0,64.04624931611615,60.385365074855045
175.5,60.02198395715941,15.629643859038316,58.09068556869235,12,2,0,60.0219158610609,59.513064914548195
178.5,62.964534398194246,9.754079337732426,63.75254146397501,17,2,0,62.964457423776615,58.555956263155885
181.5,62.70652718548869,7.45715111245753,62.04606845627952,20,2,0,62.706451059712286,56.86409741832679
184.5,36.52589748402615,5.65575741234738,28.98310754341076,8,2,0,36.52586839049669,54.198512966600106
187.5,61.04006734399894,5.546938837287167,61.02281867176668,15,2,0,61.039996363141896,54.47836927755733
190.5,57.78176085835254,9.621061645571624,57.745652846381695,12,2,0,57.7816985260259,53.66462107425045
193.5,59.62121470973766,14.25610664550392,59.42644437058608,8,2,0,59.62114770095942,52.16469329564765
196.5,64.83809694223211,5.668258503835854,59.4731406261332,12,2,0,64.838013322751,49.422023116159565
199.5,63.87119859028775,6.632684520853833,63.77122645892566,20,2,0,63.87111851081637,44.1100212355729
202.5,54.88018240824034,6.243089469646785,55.07884264357315,18,2,0,54.88012655883645,35.504503142445664
205.5,0.0,0.0,0.0,0,0,1,0.0,23.669714479919953
208.5,0.0,0.0,0.0,0,0,1,0.0,15.779878230714235
211.5,0.0,0.0,0.0,0,0,1,0.0,10.520021686627553
214.5,0.0,0.0,0.0,0,0,1,0.0,7.013502090312128
217.5,0.0,0.0,0.0,0,0,1,0.0,4.675899509048724
220.5,0.0,0.0,0.0,0,0,1,0.0,3.1176135126267743
223.5,0.0,0.0,0.0,0,0,1,0.0,2.078929768309286
226.5,0.0,0.0,0.0,0,0,1,0.0,1.3867343187100118
229.5,0.0,0.0,0.0,0,0,1,0.0,0.9256612555624061
232.5,0.0,0.0,0.0,0,0,1,0.0,0.6188650683418682
235.5,0.0,0.0,0.0,0,0,1,0.0,0.4152130591783081
238.5,0.0,0.0,0.0,0,0,1,0.0,0.28076322654446606
241.5,0.0,0.0,0.0,0,0,1,0.0,0.19310726500136838
244.5,0.0,0.0,0.0,0,0,1,0.0,0.1376358476251654
247.5,0.0,0.0,0.0,0,0,1,0.0,0.10510373818648994
250.5,0.0,0.0,0.0,0,0,1,0.0,0.0900889184455628
