time,ax (m/s^2),EMA ax (m/s^2),ay (m/s^2),EMA ay (m/s^2),az (m/s^2),EMA az (m/s^2),aT (m/s^2),EMA aT (m/s^2)
0.001726,0.0827,0.0827,-0.1503,-0.1503,0.0667,0.0667,0.18,0.18
0.026919,0.1732,0.08711463414634146,-0.0541,-0.14560731707317073,-0.1649,0.05540243902439024,0.25,0.18341463414634146
0.035387,0.2143,0.0933187983343248,-0.0794,-0.14237769185008922,-0.1048,0.047587685901249246,0.25,0.1866627007733492
0.044573,0.2502,0.10097153987899188,-0.1074,-0.14067146297935315,-0.2905,0.031095603662163913,0.4,0.19706939829660047
0.053811,0.1636,0.104026586714163,-0.1034,-0.13885334283401884,-0.4668,0.006808013239619333,0.51,0.21233430569676628
0.058908,0.0332,0.10057163126469162,-0.0721,-0.13559708220796915,-0.4259,-0.01429969472328893,0.43,0.22295214444326547
0.069685,-0.0602,0.09272911266641398,-0.045,-0.13117771234416578,-0.3357,-0.029977758395323618,0.34,0.2286617959338379
0.079264,-0.1007,0.08329354619488159,-0.0292,-0.12620318979079184,-0.2394,-0.04019347749799076,0.26,0.23019048881511409
0.088693,-0.0797,0.07534264150244833,-0.0801,-0.12395425370343613,-0.1369,-0.044910868839552184,0.18,0.22774217228754753
0.097764,0.0102,0.07216495167306061,-0.1134,-0.12343941205936607,-0.0494,-0.0451298508473789,0.12,0.22248645656620375
0.112263,0.0543,0.07129349061583815,-0.1479,-0.1246326114711043,0.0043,-0.04271863861092139,0.16,0.219438336733706
0.115661,0.0525,0.07037673497604116,-0.1349,-0.12513345969202602,0.0486,-0.03826407087380328,0.15,0.21605110079547643
0.122991,0.0476,0.06926567473330744,-0.1354,-0.12563426653631743,0.0907,-0.03197314058727629,0.17,0.21380470563472148
0.133381,0.0829,0.06993076377070707,-0.1621,-0.12741308280283853,0.0304,-0.02893054836350671,0.18,0.21215569560375946
0.16426,0.0758,0.07021706797701405,-0.1267,-0.1273782982758708,0.1119,-0.022060765516506382,0.19,0.21107492996455168
0.176115,0.1069,0.07200647929520848,-0.0541,-0.12380374714046245,0.068,-0.01766755744253046,0.14,0.2076078602101833
0.194041,0.0942,0.07308909006129587,-0.131,-0.12415478386531795,0.0023,-0.0166935302502119,0.16,0.2052855255657841
0.197801,0.0853,0.0736847442046473,-0.1502,-0.1254252822133512,-0.0331,-0.017493845847762538,0.18,0.20405208529428245
0.208052,0.0589,0.07296353717027425,-0.1285,-0.12557526844684624,-0.0782,-0.020455121660066803,0.16,0.20190320308480525
0.216821,0.0686,0.07275068169855355,-0.104,-0.12452281632748789,-0.0635,-0.02255487182299037,0.14,0.19888353464164402
0.228546,0.0627,0.07226040454252654,-0.0942,-0.12304365455541531,-0.0583,-0.024298536612112794,0.13,0.19552336222010042
0.23757,0.0864,0.07295014090630572,-0.14,-0.12387079335759017,-0.0793,-0.02698153482615607,0.18,0.1947661250386321
0.247275,0.0994,0.07424037793526642,-0.1366,-0.124491730266976,-0.0522,-0.028211703859026504,0.18,0.19404582625625982
0.256509,0.1307,0.07699450584086318,-0.0905,-0.12283359708322107,-0.061,-0.02981113293907399,0.17,0.19287285912180813
0.264422,0.1379,0.07996550555594302,-0.0755,-0.12052464112794199,-0.0698,-0.03176180938107038,0.17,0.19175710989635408
0.274571,0.1274,0.0822793833337019,-0.0919,-0.1191283171704814,0.0006,-0.030183184533213288,0.16,0.1902079825843368
0.292623,0.0679,0.08157795000035058,-0.0784,-0.11714156999143352,-0.0505,-0.031174248702324832,0.12,0.18678320294607648
0.309545,0.0399,0.07954487926862615,-0.0934,-0.11598344462599773,-0.0643,-0.0327901390095285,0.12,0.1835254857291947
0.311331,0.0638,0.07877683637747365,-0.0955,-0.11498425220521735,-0.0806,-0.03512232735052711,0.14,0.18140229130338031
0.327322,0.1007,0.07984625899320665,-0.1561,-0.11698989843910919,-0.102,-0.03838465284562334,0.21,0.18279730148370324
0.331044,0.1041,0.0810293683106112,-0.1586,-0.11901965949085995,-0.1451,-0.04359027953608074,0.24,0.18558767702108356
0.33989,0.1025,0.08207671619789846,-0.0837,-0.11729674927179361,-0.0973,-0.04621026590017436,0.16,0.18433949765420143
0.349895,0.0983,0.08286809589556193,-0.0583,-0.11441885906341343,-0.0952,-0.04860000902699512,0.15,0.182664400207655
0.358635,0.1052,0.08395745707138817,-0.049,-0.11122769520666155,-0.0094,-0.046687813464702674,0.12,0.1796076001975255
0.368122,0.1103,0.08524245916546679,-0.0773,-0.10957268568438538,0.0786,-0.0405762128078879,0.16,0.17865113189520718
0.38525,0.1126,0.08657697335251718,-0.1293,-0.1105349936997812,0.0923,-0.034094446329454346,0.19,0.1792047352173922
