time,theta_apparent,lo,hi,n,sides,theta,theta_ema
7.5,26.228679432121496,5.978123383775527,28.434397281654338,10,1,22.753316429261073,22.753316429261073
16.5,10.319856512857253,7.024123329621206,9.099977266575126,8,1,9.019585841962446,18.175406233494865
22.5,44.4960146447754,37.83121823201009,37.83121823201009,1,1,37.83121823201009,24.727343566333275
25.5,31.68612480553899,5.283459770962381,30.415171682740684,3,1,27.36590045535352,25.606862529340027
28.5,58.3820252336065,5.378303264102628,37.97067019595273,10,2,48.17806985310618,33.13059830392875
31.5,42.497981093273246,5.388658193608535,36.43585140079657,6,1,36.24227509802334,34.16782390196028
34.5,42.62476465954525,36.03448096898691,36.40339503639725,4,1,36.343666237271215,34.89310468039726
40.5,20.20884986603316,5.438016038307687,29.202685044019688,6,1,17.596087426024653,29.12743226227306
43.5,11.792480861980586,7.249654136774789,10.730649724308758,11,1,10.302579605982098,22.85248137684274
46.5,60.15343674177533,7.039943466142438,50.52205403977598,9,2,49.38022724497226,31.695063332885915
49.5,42.997078086195785,6.13435024126546,36.64286291105421,6,1,36.64097973204332,33.34370213260505
52.5,5.505373410281089,4.816130995217033,4.816130995217033,1,1,4.816130995217033,23.834511753475716
55.5,9.414603532807652,6.947487956520957,8.23852802419269,8,1,8.230172786483061,18.633065431144832
58.5,9.115197304136895,5.652473671370393,8.092589143256653,8,1,7.9689685156138,15.078366459301156
61.5,8.819448100139152,6.043831244089465,7.761848758548593,5,1,7.710903314987591,12.622545411196635
64.5,24.684175383145046,5.207693154535125,36.345136632414246,11,1,21.43619878973103,15.5604298707081
67.5,11.787638176669363,7.497148857594067,10.662477647509588,3,1,10.29836312071147,13.806407620709223
70.5,41.50276506486996,7.017054952043212,35.584560631775574,13,1,35.44384785770276,21.01888769970707
73.5,10.501399365624108,5.000859485319279,9.368020500008932,10,1,9.177833733482375,17.071869710965505
76.5,8.886725248794535,5.195174822063403,7.810093997478233,15,1,7.769612484387256,13.971117302106089
82.5,42.8564563774576,36.101066349174445,36.5572272536061,2,1,36.52876154276395,21.490332048992045
85.5,42.10440451353905,4.973682333666587,36.0004443938821,4,1,35.927055169348414,26.302573089110837
91.5,58.49955857620927,35.635953007469396,41.54870900537396,7,2,48.258864280456386,33.62133681955935
94.5,44.34946237549032,37.71533825598531,37.71533825598531,1,1,37.71533825598531,34.98600396503467
100.5,63.048800898431466,18.201061142360167,51.26764901171717,4,2,51.26764901171717,40.4132189805955
106.5,40.05191641305762,34.272160911587356,34.272160911587356,1,1,34.272160911587356,38.36619962425946
109.5,8.058828202505305,4.563313720240664,7.2124253612135,2,1,7.0469784389027685,27.926459229140562
115.5,6.371284544877804,5.572948787179282,5.572948787179282,1,1,5.572948787179282,20.47528908182014
118.5,26.21738028194376,4.168707629212821,26.810452918227536,4,1,22.74369774894734,21.231425304195874
121.5,6.409574609731908,5.606408150068089,5.606408150068089,1,1,5.606408150068089,16.023086252819947
124.5,29.947445044657393,4.975858626335874,28.744302154728953,3,1,25.904057834639048,19.316743446759645
127.5,28.02666372531226,6.838923462139516,26.815627618485948,4,1,24.280508988232775,20.971331960584024
130.5,56.279216800558956,5.092966048437709,44.772517718976474,3,2,46.709371882863074,29.55067860134371
133.5,13.121409030244875,5.326703114102218,11.558705195489756,10,2,11.458958234070105,23.520105145585845
136.5,20.149893555768926,8.359635039996483,18.869051226850317,11,2,17.545290539837282,21.52850027700299
139.5,20.675157940414223,11.243978736193045,18.386921378155083,18,2,17.997683315881932,20.35156128996264
142.5,27.57310465883183,19.528572559932527,24.28909256069509,6,1,23.895909957810506,21.53301084591193
145.5,32.92027411878129,23.827335534175898,28.937911940547757,10,1,28.39866514828287,23.82156228003558
148.5,37.580646038409725,25.181128076055654,32.44215472501355,13,2,32.256945607870115,26.633356722647093
151.5,42.35038252274363,32.61328333344667,36.268423652275644,8,1,36.12414459292614,29.79695267940678
154.5,46.17529619349371,36.95239503842623,39.296147655448436,2,1,39.15103603232664,32.9149804637134
157.5,45.465240410167404,25.799333490090632,38.59480323257387,4,2,38.59480323257387,34.80825472000022
160.5,51.64821248152179,26.446419972878907,42.45709588285185,4,2,43.33669476042759,37.651068066809344
163.5,54.00862273307064,27.26547257164734,45.19998169053656,12,2,45.077754913322444,40.126630348980385
166.5,52.26402288591328,32.8496830017871,43.86113153082881,20,2,43.79504139961034,41.3494340325237
169.5,50.632308174917995,39.370868379265865,43.0225300819296,5,1,42.57455693164229,41.7578083322299
172.5,55.304466105819586,40.17054291773685,47.12151304566747,7,1,46.01444581545198,43.17668749330393
175.5,44.62084448775887,31.767355570346297,38.41212148922244,19,2,37.929835979635605,41.427736988747824
178.5,57.69929670396616,18.499998179837995,44.81631857174565,2,2,47.70597119903179,43.52048172550915
181.5,49.239331973536345,41.51799048006418,41.51799048006418,1,1,41.51799048006418,42.852984643694164
184.5,44.57405390275909,33.336739002078936,38.105997838661295,8,1,37.892879923446365,41.19961640361157
187.5,45.405517122319125,18.417982233122352,39.04033141446242,7,2,38.54789401402369,40.31570894041562
190.5,55.65695898887444,43.80397164449388,46.42747021184776,2,1,46.26673235983726,42.29938341355617
193.5,35.383729708274856,9.880572006205403,31.77093349075922,2,1,30.44685501637678,38.34854061449638
196.5,43.545338494431846,35.278132500710036,37.11510330343884,3,1,37.07760192301393,37.92489438400223
199.5,55.69267856658075,30.456596782112527,43.37481478678673,3,2,46.29223596795947,40.71400824532131
202.5,44.48930140556774,37.82591240547476,37.82591240547476,1,1,37.82591240547476,39.75130963203913
205.5,43.589003837033886,31.5211506263108,37.73463103771164,4,1,37.112313832046326,38.87164436537486
208.5,35.48802674694682,24.33800062185542,31.239985187468612,3,1,30.53315440344584,36.092147711398525
211.5,37.91035465394539,32.52714324851836,32.52714324851836,1,1,32.52714324851836,34.90381289043847
214.5,63.91242680793393,34.56747450050747,46.308016283178404,5,2,51.810193359162646,40.53927304667987
217.5,48.343001817498056,13.754856805587284,41.285541133986655,4,1,40.8314490610957,40.636665051485146
220.5,57.71917429815028,31.881595000838054,49.37131535908328,4,2,47.7197824618587,42.99770418827633
223.5,41.282215131617285,35.26631302725434,35.26631302725434,1,1,35.26631302725434,40.420573801269
226.5,47.3534226441598,29.212439547541504,39.87186932810536,7,2,40.067735411905446,40.302961004814485
229.5,27.077692223365585,23.47531219688768,23.47531219688768,1,1,23.47531219688768,34.693744735505554
232.5,35.53328284869511,19.100324595937238,30.50974575914587,10,2,30.570590060498184,33.31935984383644
235.5,34.0276262359466,26.072803760188158,29.38758324589856,4,1,29.321627890693108,31.986782526121996
238.5,33.80112904437369,14.89148038732381,28.85415374502105,5,2,29.133140176371846,31.035568409538612
241.5,32.41175332975347,13.842368146998021,27.97363479165916,4,2,27.97363479165916,30.014923870245465
244.5,21.044549001537437,17.894749525006585,18.34362889120084,2,1,18.315585783633967,26.115144508041634
247.5,15.786006561881262,10.648918213709404,14.268270504362503,4,1,13.772816708459619,22.0010352415143
250.5,23.304528752424083,16.411631937341937,20.59979260830308,6,1,20.25591927171771,21.41932991824877
253.5,15.08910653513207,13.10295257662071,13.172676415367437,2,1,13.168318865844359,18.668992900780637
256.5,7.824290990493717,6.842195928480521,6.842195928480521,1,1,6.842195928480521,14.726727243347266
