time,theta_apparent,lo,hi,n,sides,rest,theta,theta_ema
4.5,56.57907514078919,13.478391633408476,48.92785914694029,13,2,0,48.927859146940285,48.927859146940285
7.5,60.133615939066694,20.310078959784565,51.070830158343185,19,2,0,51.56153830877212,49.805752200884235
10.5,64.01931089557318,15.922363098544896,53.66176145497771,19,2,0,54.2875268979088,51.29967709989243
13.5,38.58851190230604,3.0860640471756753,45.39170725106949,7,2,0,34.28910229913845,45.629485499641106
16.5,44.31373590287023,3.6985894423479735,37.765690332545645,6,2,0,39.12310697884462,43.46069265937561
19.5,44.49036897187798,9.790552149224794,40.933218142286385,5,2,0,39.27018650817434,42.06385727564186
22.5,64.09098681470829,11.807281638377319,53.74487052259454,14,2,0,54.33607936457918,46.1545979719543
25.5,56.4159043333518,5.104858730418604,52.959499312555614,16,2,0,48.80419224746197,47.037796063790196
28.5,61.52512608928352,3.646638841534412,51.89233636630035,41,2,0,52.557899315558096,48.87783048104616
31.5,63.44323642501995,4.917163857585278,50.882035904584704,36,2,0,53.89487582111171,50.55017892773468
34.5,63.27776709682149,6.628954958573492,24.390109050060552,88,2,0,53.78130740892331,51.62722175479756
37.5,41.03978178817897,8.318671892768254,15.96848900873649,51,2,0,36.373691756916735,46.54271175550395
40.5,47.4134086351713,8.28693595010465,38.54893747143742,61,2,0,41.68327587994538,44.92289979698443
43.5,59.432575681476195,14.42976689807106,33.652649032356166,79,2,0,51.05178202566598,46.96586053987828
46.5,40.48417581088868,17.09809508630699,29.042032329332642,93,2,0,35.9030228506216,43.27824797679272
49.5,44.001017331013486,20.80856710471034,38.38208315730733,117,2,0,38.86237966313648,41.80629187224064
52.5,48.806176413819465,27.331013407923752,42.85052309416836,141,2,0,42.81804100318817,42.14354158255649
55.5,55.064327220864755,31.49583029711023,48.06977493273282,114,2,0,47.77136016911908,44.019481111410684
58.5,58.2771228794954,34.35473570367056,50.19463256619646,112,2,0,50.2009006252132,46.07995428267819
61.5,63.48465110055999,38.97410903416097,53.977766256576274,83,2,0,53.923246176127684,48.69438491382802
64.5,64.58265005511007,42.41788593761377,54.606970547318944,92,2,0,54.66728685484711,50.685352227501056
67.5,63.88190460622118,41.312505623554834,54.136530186103556,72,2,0,54.1942611555964,51.85498853686617
70.5,63.52953718116461,42.62324600298163,53.98721299031253,75,2,0,53.95396991001879,52.554648994583715
73.5,63.56952046075992,42.42778232194782,54.041583006817305,89,2,0,53.98131612303049,53.03020470406597
76.5,63.378245597893,40.15044372167665,53.62097163332498,92,2,0,53.85031119667094,53.3035735349343
79.5,61.62568777955646,37.32464492470383,52.82440112899654,71,2,0,52.629073121768634,53.07874006387908
82.5,62.94073535677806,33.6873174958737,53.60983762422062,72,2,0,53.54892767307365,53.23546926694394
85.5,62.98302505769605,40.08118859800677,54.09282642723728,59,2,0,53.5781633587511,53.34970063087966
88.5,55.86449114133867,4.6417021775515055,48.49884466879049,51,2,0,48.38462145962502,51.69467424046145
91.5,63.61589146006255,36.96103095249167,54.19613863519861,52,2,0,54.01300556011976,52.467451347014226
94.5,62.83821768762779,41.5532566525047,53.67550311630583,63,2,0,53.47796383418305,52.804288842737165
97.5,62.31722739719264,7.814236695635718,54.07749474937258,53,2,0,53.115354279802574,52.90797732175897
