time_s,t_from_ride_start_s,phone_aT_ms2,phone_angle_deg,alex_video_angle_deg,ryan_video_angle_deg
343.08,-159.827,0.0957,0.559,0.0,
343.18,-159.727,0.0936,0.547,0.0,
343.28,-159.627,0.0937,0.547,0.0,
343.38,-159.527,0.0975,0.569,0.0,
343.48,-159.427,0.1063,0.621,0.0,
343.58,-159.327,0.1116,0.652,0.0,
343.68,-159.227,0.1108,0.647,0.0,
343.78,-159.127,0.1096,0.64,0.0,
343.88,-159.027,0.1115,0.651,0.0,
343.98,-158.927,0.1119,0.653,0.0,
344.08,-158.827,0.1119,0.653,0.0,
344.18,-158.727,0.1099,0.642,0.0,
344.28,-158.627,0.1067,0.623,0.0,
344.38,-158.527,0.1084,0.633,0.0,
344.48,-158.427,0.1074,0.627,0.0,
344.58,-158.327,0.1095,0.639,0.0,
344.68,-158.227,0.1105,0.645,0.0,
344.78,-158.127,0.1096,0.64,0.0,
344.88,-158.027,0.1108,0.647,0.0,
344.98,-157.927,0.1178,0.688,0.0,
345.08,-157.827,0.1255,0.733,0.0,
345.18,-157.727,0.1308,0.764,0.0,
345.28,-157.627,0.1345,0.786,0.0,
345.38,-157.527,0.1354,0.791,0.0,
345.48,-157.427,0.1354,0.791,0.0,
345.58,-157.327,0.132,0.771,0.0,
345.68,-157.227,0.1289,0.753,0.0,
345.78,-157.127,0.1257,0.734,0.0,
345.88,-157.027,0.1238,0.723,0.0,
345.98,-156.927,0.1254,0.732,0.0,
346.08,-156.827,0.1225,0.716,0.0,
346.18,-156.727,0.1234,0.721,0.0,
346.28,-156.627,0.1243,0.726,0.0,
346.38,-156.527,0.1228,0.717,0.0,
346.48,-156.427,0.1214,0.709,0.0,
346.58,-156.327,0.1185,0.692,0.0,
346.68,-156.227,0.1209,0.706,0.0,
346.78,-156.127,0.1163,0.679,0.0,
346.88,-156.027,0.1155,0.675,0.0,
346.98,-155.927,0.115,0.671,0.0,
347.08,-155.827,0.1144,0.668,0.0,
347.18,-155.727,0.115,0.672,0.0,
347.28,-155.627,0.1149,0.671,0.0,
347.38,-155.527,0.1168,0.682,0.0,
347.48,-155.427,0.1189,0.695,0.0,
347.58,-155.327,0.1173,0.685,0.0,
347.68,-155.227,0.1158,0.676,0.0,
347.78,-155.127,0.1128,0.659,0.0,
347.88,-155.027,0.1111,0.649,0.0,
347.98,-154.927,0.1115,0.651,0.0,
348.08,-154.827,0.1111,0.649,0.0,
348.18,-154.727,0.1102,0.643,0.0,
348.28,-154.627,0.1079,0.63,0.0,
348.38,-154.527,0.1056,0.617,0.0,
348.48,-154.427,0.1053,0.615,0.0,
348.58,-154.327,0.1051,0.614,0.0,
348.68,-154.227,0.1044,0.61,0.0,
348.78,-154.127,0.104,0.608,0.0,
348.88,-154.027,0.1022,0.597,0.0,
348.98,-153.927,0.0995,0.581,0.0,
349.08,-153.827,0.0985,0.575,0.0,
349.18,-153.727,0.1032,0.603,0.0,
349.28,-153.627,0.1026,0.599,0.0,
349.38,-153.527,0.1013,0.592,0.0,
349.48,-153.427,0.101,0.59,0.0,
349.58,-153.327,0.0979,0.572,0.0,
349.68,-153.227,0.0975,0.569,0.0,
349.78,-153.127,0.0956,0.559,0.0,
349.88,-153.027,0.0979,0.572,0.0,
349.98,-152.927,0.0978,0.571,0.0,
350.08,-152.827,0.0959,0.56,0.0,
350.18,-152.727,0.0943,0.551,0.0,
350.28,-152.627,0.0927,0.541,0.0,
350.38,-152.527,0.0933,0.545,0.0,
