time_phone_s,t_from_ride_start_s,time_on_alex_video_s,time_on_ryan_video_s,ax_ms2,ay_ms2,az_ms2,aT_ms2
0.0067,-427.6,-352.3033,-368.3133,0.1634,-0.5983,-1.9513,2.05
0.0156,-427.5911,-352.2944,-368.3044,0.143,-0.8501,-2.0388,2.21
0.0298,-427.5769,-352.2803,-368.2902,-0.63,-0.3586,-1.5802,1.74
0.0364,-427.5702,-352.2736,-368.2836,-0.3758,-0.657,-1.2819,1.49
0.0453,-427.5614,-352.2647,-368.2747,-0.7428,-0.1289,-1.0484,1.29
0.0536,-427.553,-352.2564,-368.2664,-1.179,0.7987,-1.0723,1.78
0.0649,-427.5417,-352.2451,-368.2551,-1.4989,1.3453,-1.0291,2.26
0.0709,-427.5358,-352.2391,-368.2491,-1.7819,0.6327,-0.6074,1.99
0.0836,-427.523,-352.2264,-368.2364,0.0416,0.7068,0.6906,0.99
0.0943,-427.5124,-352.2157,-368.2257,0.5805,-0.2277,0.4265,0.76
0.1043,-427.5023,-352.2057,-368.2157,1.208,-0.2032,0.3761,1.28
0.1126,-427.494,-352.1974,-368.2074,1.3231,-0.3648,0.6355,1.51
0.1212,-427.4854,-352.1888,-368.1988,1.3555,-0.9253,0.1805,1.65
0.1327,-427.474,-352.1773,-368.1873,0.0385,-0.869,-0.1796,0.89
0.1466,-427.4601,-352.1634,-368.1734,-0.7465,-0.6883,-0.2845,1.05
0.1548,-427.4519,-352.1552,-368.1652,-1.5008,-0.3727,-0.5316,1.64
0.1638,-427.4429,-352.1462,-368.1562,-1.835,0.0231,-0.5118,1.91
0.1717,-427.4349,-352.1383,-368.1483,-1.8761,0.2749,-0.7054,2.02
0.18,-427.4266,-352.13,-368.14,-1.324,0.2408,-0.7668,1.55
0.1908,-427.4159,-352.1192,-368.1292,-0.5764,0.515,0.5265,0.94
0.2019,-427.4048,-352.1081,-368.1181,-1.4764,-0.0596,2.5168,2.92
0.215,-427.3917,-352.095,-368.105,-1.4556,0.5709,4.9687,5.21
0.2233,-427.3834,-352.0867,-368.0967,-0.6132,-0.4441,5.6047,5.66
0.2316,-427.375,-352.0784,-368.0884,0.1717,-1.3485,5.5141,5.68
0.2484,-427.3582,-352.0616,-368.0716,-0.364,-0.1395,4.5121,4.53
0.256,-427.3507,-352.054,-368.064,0.6765,-0.1337,4.2297,4.29
0.2644,-427.3423,-352.0456,-368.0556,0.3218,0.0674,4.3429,4.36
0.2728,-427.3339,-352.0372,-368.0472,0.193,0.0537,4.144,4.15
0.2807,-427.3259,-352.0293,-368.0393,0.3257,-0.2564,3.7273,3.75
0.2974,-427.3093,-352.0126,-368.0226,0.6044,-1.3643,2.5486,2.95
0.3055,-427.3011,-352.0045,-368.0145,1.2642,-2.0506,1.7506,2.98
0.3137,-427.2929,-351.9963,-368.0063,1.1266,-2.2225,1.0269,2.7
0.3223,-427.2843,-351.9877,-367.9977,0.9622,-1.81,0.3437,2.08
0.3304,-427.2763,-351.9796,-367.9896,0.6104,-1.1967,-0.5013,1.43
