time_s,t_from_ride_start_s,phone_ax_ms2,phone_ay_ms2,phone_az_ms2,phone_aT_ms2,phone_aT_smooth_ms2,phone_angle_deg,alex_video_angle_deg,ryan_video_angle_deg
353.81,-73.797,-0.0096,-0.0852,0.0113,0.0961,0.1029,0.601,0.359,
353.91,-73.697,0.0028,0.099,-0.0909,0.1389,0.1024,0.598,0.365,
354.01,-73.597,0.0316,0.0786,0.0192,0.09,0.1016,0.593,0.371,
354.11,-73.497,0.0525,-0.0128,-0.0862,0.0992,0.1009,0.589,0.377,
354.21,-73.397,0.0176,0.0015,0.0616,0.0685,0.1004,0.586,0.383,
354.31,-73.297,-0.0132,-0.0455,-0.0285,0.0575,0.1001,0.585,0.389,
354.41,-73.197,-0.0117,0.0396,-0.0813,0.09,0.1,0.584,0.395,
354.51,-73.097,-0.0044,0.0022,0.0482,0.0457,0.0998,0.583,0.401,
354.61,-72.997,0.0198,0.0447,0.1035,0.1169,0.0997,0.582,0.407,
354.71,-72.897,0.1607,-0.0092,-0.0368,0.1616,0.0995,0.581,0.413,
354.81,-72.797,-0.0353,0.1235,-0.0452,0.1347,0.0994,0.581,0.419,
354.91,-72.697,0.0482,-0.0462,0.0242,0.0748,0.0991,0.579,0.425,
355.01,-72.597,0.0804,-0.1327,0.1272,0.2008,0.099,0.578,0.431,
355.11,-72.497,0.1041,-0.0848,-0.0793,0.1565,0.0987,0.576,0.437,
355.21,-72.397,0.0754,-0.068,0.0488,0.1091,0.0983,0.574,0.443,
355.31,-72.297,0.0466,-0.0115,0.0198,0.0493,0.098,0.572,0.449,
355.41,-72.197,0.044,-0.0176,0.0196,0.0596,0.0978,0.571,0.455,
355.51,-72.097,0.0249,-0.0736,-0.0733,0.11,0.0977,0.571,0.461,
355.61,-71.997,0.028,-0.028,0.094,0.0985,0.0976,0.57,0.467,
355.71,-71.897,0.0056,0.078,0.0424,0.0889,0.0975,0.569,0.473,
355.81,-71.797,0.0897,-0.0552,0.0087,0.105,0.0974,0.569,0.479,
355.91,-71.697,-0.018,0.04,-0.04,0.0638,0.0975,0.569,0.485,
356.01,-71.597,0.0331,-0.0113,-0.0667,0.0718,0.0976,0.57,0.491,
356.11,-71.497,0.0292,-0.0128,-0.0995,0.1081,0.0978,0.571,0.496,
356.21,-71.397,0.044,0.0264,-0.1135,0.1234,0.0982,0.574,0.502,
356.31,-71.297,0.0322,0.0367,0.0161,0.0519,0.0986,0.576,0.508,
356.41,-71.197,0.066,0.0142,-0.0926,0.1119,0.0991,0.579,0.514,
356.51,-71.097,0.0151,0.0695,-0.0517,0.0878,0.0995,0.581,0.52,
356.61,-70.997,0.054,-0.0227,0.0036,0.0679,0.0999,0.583,0.526,
356.71,-70.897,-0.0026,-0.0121,0.0053,0.0541,0.1002,0.585,0.532,
356.81,-70.797,-0.0018,0.0029,0.0029,0.0105,0.1005,0.587,0.538,
356.91,-70.697,0.02,0.014,-0.0058,0.033,0.1009,0.589,0.547,
357.01,-70.597,0.0298,0.0306,-0.034,0.062,0.1013,0.592,0.556,
357.11,-70.497,0.0463,0.1772,-0.0518,0.1943,0.1018,0.595,0.565,
357.21,-70.397,0.0218,-0.1263,0.0934,0.1598,0.102,0.596,0.574,
357.31,-70.297,0.0986,-0.0034,0.0316,0.1098,0.1022,0.597,0.583,
357.41,-70.197,0.0268,-0.0951,0.0476,0.1096,0.1023,0.597,0.592,
357.51,-70.097,0.0059,-0.0322,-0.0592,0.0658,0.1024,0.598,0.601,
357.61,-69.997,0.0282,0.0118,-0.0722,0.0851,0.1025,0.599,0.61,
357.71,-69.897,0.0528,-0.0996,0.0833,0.148,0.1026,0.599,0.619,
357.81,-69.797,-0.0554,0.0231,-0.0067,0.0677,0.1028,0.6,0.628,
357.91,-69.697,0.0018,-0.0735,0.0766,0.1058,0.1031,0.602,0.637,
358.01,-69.597,0.0477,-0.0435,0.1437,0.1566,0.1036,0.605,0.646,
358.11,-69.497,0.0715,-0.1329,0.0792,0.1796,0.104,0.607,0.655,
358.21,-69.397,0.1034,0.0149,-0.0851,0.1374,0.1044,0.61,0.664,
358.31,-69.297,0.034,-0.1202,0.1311,0.1825,0.1046,0.611,0.673,
358.41,-69.197,-0.0263,-0.0751,-0.0491,0.0947,0.1046,0.611,0.682,
358.51,-69.097,0.1966,-0.039,0.0252,0.2,0.1046,0.611,0.691,
358.61,-68.997,-0.0692,-0.1484,0.0392,0.1713,0.1042,0.609,0.7,
358.71,-68.897,0.194,-0.1133,-0.0563,0.2347,0.1035,0.604,0.709,
358.81,-68.797,0.031,-0.035,0.0246,0.0519,0.1025,0.599,0.718,
358.91,-68.697,0.0083,-0.074,0.0148,0.08,0.1014,0.592,0.727,
359.01,-68.597,0.0293,0.003,0.0717,0.08,0.1004,0.586,0.736,
359.11,-68.497,0.0011,0.0341,-0.053,0.088,0.0993,0.58,0.745,
359.21,-68.397,0.0245,-0.003,0.0404,0.059,0.0981,0.573,0.754,
359.31,-68.297,0.0202,-0.0365,-0.0074,0.05,0.0971,0.567,0.763,
359.41,-68.197,0.0494,-0.0465,-0.0088,0.07,0.096,0.561,0.772,
359.51,-68.097,0.0351,0.0036,-0.0384,0.0569,0.0952,0.556,0.781,
359.61,-67.997,-0.0439,0.0413,0.0207,0.0739,0.0945,0.552,0.79,
359.71,-67.897,-0.0025,-0.0247,0.0065,0.03,0.0937,0.547,0.799,
359.81,-67.797,0.0073,-0.0058,-0.0433,0.0401,0.0932,0.544,0.808,
359.91,-67.697,0.0174,0.0641,-0.0049,0.0682,0.0928,0.542,0.821,
360.01,-67.597,0.0316,0.025,-0.0185,0.0499,0.0924,0.54,0.834,
360.11,-67.497,-0.0139,-0.067,-0.048,0.0824,0.0921,0.538,0.848,
360.21,-67.397,-0.0112,0.0497,0.0009,0.05,0.0918,0.536,0.861,
360.31,-67.297,0.024,0.0031,-0.0167,0.0308,0.0914,0.534,0.875,
360.41,-67.197,0.021,0.0631,-0.065,0.09,0.091,0.531,0.888,
360.51,-67.097,0.0095,-0.0067,-0.0428,0.0433,0.0906,0.529,0.902,
360.61,-66.997,0.0285,0.0692,-0.143,0.1641,0.0903,0.527,0.915,
360.71,-66.897,0.0116,0.058,-0.0397,0.0714,0.0898,0.524,0.929,
360.81,-66.797,0.0316,-0.0127,-0.1054,0.1072,0.0893,0.522,0.942,
360.91,-66.697,0.0036,0.0119,-0.1057,0.1086,0.0888,0.519,0.956,
361.01,-66.597,0.0083,-0.0164,-0.1125,0.1159,0.0884,0.516,0.969,
361.11,-66.497,0.0086,0.052,-0.1445,0.1517,0.0878,0.513,0.983,
361.21,-66.397,0.0132,0.0124,-0.0431,0.0464,0.0871,0.509,0.996,
361.31,-66.297,0.0049,0.0187,-0.0986,0.103,0.0866,0.506,1.009,
361.41,-66.197,0.0073,0.0039,-0.0676,0.07,0.0861,0.503,1.023,
361.51,-66.097,0.0076,0.0992,-0.0812,0.13,0.0857,0.501,1.036,
361.61,-65.997,0.005,0.027,-0.0412,0.0519,0.0853,0.498,1.05,
361.71,-65.897,0.009,-0.0004,-0.0655,0.0663,0.0849,0.496,1.063,
361.81,-65.797,0.0144,0.0306,-0.0157,0.0435,0.0848,0.495,1.077,
361.91,-65.697,0.0254,0.0188,-0.0276,0.0479,0.0848,0.495,1.09,
362.01,-65.597,0.0415,0.0751,-0.0955,0.128,0.0848,0.495,1.104,
362.11,-65.497,0.0057,-0.058,-0.0647,0.0866,0.0848,0.495,1.117,
362.21,-65.397,0.0218,-0.0312,-0.0293,0.05,0.0848,0.495,1.131,
362.31,-65.297,0.0441,-0.0117,0.0052,0.0501,0.0849,0.496,1.144,
362.41,-65.197,0.0403,-0.0564,0.0449,0.0825,0.0851,0.497,1.157,
362.51,-65.097,0.0541,-0.0204,0.0468,0.0785,0.0854,0.499,1.171,
362.61,-64.997,-0.0374,-0.103,0.2108,0.2426,0.0857,0.501,1.184,
362.71,-64.897,0.0339,-0.0952,0.1414,0.17,0.0858,0.501,1.198,
362.81,-64.797,0.0089,-0.0634,0.0942,0.118,0.0857,0.501,1.211,
362.91,-64.697,0.0423,-0.0188,0.0515,0.07,0.0856,0.5,1.232,
363.01,-64.597,0.0398,-0.0551,0.0376,0.08,0.0855,0.499,1.252,
363.11,-64.497,0.0272,-0.0671,0.0767,0.1026,0.0854,0.499,1.272,
363.21,-64.397,0.0204,0.002,0.0415,0.0554,0.0853,0.498,1.292,
363.31,-64.297,-0.0079,-0.0377,0.0481,0.0647,0.0851,0.497,1.312,
363.41,-64.197,0.0252,-0.0196,-0.0394,0.0512,0.0848,0.495,1.332,
363.51,-64.097,0.0402,-0.0306,0.0421,0.0704,0.0846,0.494,1.353,
363.61,-63.997,0.0265,0.0023,0.024,0.04,0.0843,0.492,1.373,
363.71,-63.897,0.0199,0.0259,-0.0176,0.0382,0.0842,0.492,1.393,
363.81,-63.797,0.0512,-0.0128,-0.08,0.1023,0.0841,0.491,1.413,
363.91,-63.697,0.0834,0.0041,-0.1743,0.1966,0.084,0.491,1.433,
364.01,-63.597,0.0363,-0.007,-0.0544,0.07,0.0837,0.489,1.454,
364.11,-63.497,0.0271,0.0582,-0.0366,0.071,0.0835,0.488,1.474,
364.21,-63.397,0.0276,0.0371,-0.011,0.0469,0.0835,0.488,1.494,
364.31,-63.297,0.0235,0.0427,-0.0053,0.0502,0.0835,0.488,1.514,
364.41,-63.197,0.0487,-0.0636,-0.067,0.1058,0.0836,0.488,1.534,
364.51,-63.097,0.0607,0.0423,-0.1908,0.2108,0.0837,0.489,1.555,
364.61,-62.997,0.0136,0.0331,-0.0493,0.0586,0.0836,0.488,1.575,
364.71,-62.897,0.0055,0.044,-0.0793,0.09,0.0837,0.489,1.595,
364.81,-62.797,0.017,0.0318,-0.051,0.0581,0.0837,0.489,1.615,
364.91,-62.697,0.0003,0.027,-0.0759,0.0768,0.0838,0.489,1.635,
365.01,-62.597,0.0462,-0.0077,-0.0429,0.06,0.084,0.491,1.655,
365.11,-62.497,0.0311,-0.0301,-0.194,0.1989,0.0842,0.492,1.676,
365.21,-62.397,0.0072,0.0037,-0.0675,0.0709,0.0843,0.492,1.696,
365.31,-62.297,0.009,0.036,-0.0688,0.0772,0.0843,0.492,1.716,
365.41,-62.197,0.0118,0.0279,-0.0734,0.08,0.0843,0.492,1.736,
365.51,-62.097,0.0272,0.0546,-0.0589,0.0867,0.0844,0.493,1.756,
365.61,-61.997,0.0312,0.0205,-0.0598,0.0727,0.0845,0.494,1.777,
365.71,-61.897,0.0667,0.0424,-0.1133,0.1393,0.0846,0.494,1.797,
365.81,-61.797,-0.0042,0.0776,0.0192,0.0822,0.0847,0.495,1.817,
365.91,-61.697,0.0227,0.0137,-0.0535,0.0584,0.0849,0.496,1.847,
366.01,-61.597,0.0105,-0.0295,-0.0591,0.0674,0.085,0.496,1.878,
366.11,-61.497,0.0166,-0.0004,-0.0631,0.0659,0.0853,0.498,1.908,
