time,theta_apparent,lo,hi,n,sides,rest,theta,theta_ema
7.5,43.08190682965204,31.903370274373984,34.456111775779206,8,1,0,34.38487607470855,34.38487607470855
10.5,11.085391810132304,3.746042857294528,10.674524199150206,7,1,0,9.147282323502445,25.972344824306518
13.5,16.49978701049666,10.38439300940327,13.793714055645529,2,1,0,13.581290977394971,21.841993542002673
16.5,41.294849878093544,31.117591442816888,33.517489604295854,19,1,0,33.06856932519808,25.584185469734475
19.5,41.91213236577229,32.503896479669514,33.53697794480534,11,1,0,33.52516261912594,28.231177852864967
22.5,42.595887535582,31.63874227898611,37.53922724129379,14,1,0,34.02858068410697,30.163645463278968
25.5,43.37848496679646,3.78388146017593,34.675472412847924,23,1,0,34.601652155278046,31.642981027278662
28.5,43.40006888992735,16.841388020289344,34.615191328102924,10,2,0,34.61740913598101,32.634457063512784
31.5,41.55498421248219,11.976598643223467,33.295633371889906,15,2,0,33.26122722477669,32.843380450600755
34.5,42.35565463186967,3.653736372547617,33.79776804986749,72,2,0,33.85199327206433,33.17958472442194
37.5,3.9428742555363554,2.967136273246261,3.3089742082500955,6,1,0,3.259205883629151,23.20612511082435
40.5,3.2300929024398233,2.6702358861802664,2.6702358861802664,1,1,0,2.6702358861802664,16.360828702609655
43.5,6.353733021142894,2.7474670460621353,5.340612792949851,8,1,0,5.249933769321288,12.6571970581802
46.5,33.7255515639168,26.426007568690807,27.197005803738424,4,2,0,27.326433968388656,17.546942694916353
49.5,57.81366654088079,2.617862865078263,43.67748664962983,8,2,0,44.40685772038143,26.50024770340471
52.5,59.341319372106895,3.0218252349184977,45.19014556746046,8,2,0,45.33602059940798,32.778838668739134
55.5,61.01404725694492,3.9985949751713705,28.315687648790927,35,2,0,46.32308709676401,37.29358814474743
58.5,55.38004404292934,5.65376828736907,6.861599233708873,43,2,0,42.876201849593286,39.15445937969605
61.5,54.81557728378042,6.924721103222951,9.318360150070236,45,2,0,42.51287266396718,40.273930474453095
64.5,57.74952451472424,7.248284907823838,20.24900123962628,47,2,0,44.367292242675525,41.63838439719391
67.5,32.02326075867097,11.980236980214746,15.357979014728484,53,2,0,26.003683603232247,36.426817465873356
70.5,34.165829932943474,12.568914047159282,17.553329408086388,55,2,0,27.666876536054662,33.506837155933795
73.5,45.16128182045258,16.24481565855203,22.711209012852063,75,2,0,35.89408317064229,34.30258582750329
76.5,29.306997521609066,18.40179539813403,24.38543125106799,62,1,0,23.87333055405265,30.826167403019745
79.5,33.80806359675383,23.792351189155866,27.589285995549403,63,2,0,27.390289694112383,29.68087483338396
82.5,37.82630545125635,25.710970017865012,31.303639579091655,53,1,0,30.468169321291274,29.943306329353064
85.5,42.6386079256074,28.695685508080125,34.52944969740239,41,1,0,34.05995034351528,31.31552100074047
88.5,45.91724927015877,33.14615270807652,36.51967518603537,27,1,0,36.43636214967369,33.02246805038488
91.5,51.602601672581386,34.8090874281523,41.054712663740126,33,2,0,40.39034068096338,35.47842559391105
94.5,52.6393287027666,36.740609753793294,41.234115041185916,51,2,0,41.084939210912815,37.347263466244975
97.5,48.474243951041565,33.6203448137608,38.80122598029123,40,2,0,38.24316205123353,37.645896327907835
100.5,51.40362422223603,34.63245338777577,40.34223509032977,50,2,0,40.256019512165004,38.51593738932689
103.5,49.71729337545918,19.82524471470108,39.18231881481895,31,2,0,39.10516124397586,38.71234534087655
106.5,56.70894986650481,21.694969551608292,43.91075159933015,11,2,0,43.71943108153976,40.38137392109762
109.5,54.846030944259844,32.41241591748282,43.18274118736864,22,1,0,42.532551120232284,41.098432987475846
